DOG NAME_x,LINK,SEX,AGE,WEIGHT,BREED MIXES_x,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,month,year,ID,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,TRANSPORT DATE,ALTERED,HW,FT,C,Date of Birth,Adopted On,MIX_x,AGE MEASURE,SECONDARY BREED_x,SPAYED/NEUTERED,COLOR_FIXED,multi_color,num_colors,contains_black,contains_white,contains_yellow,WEIGHT2,Age at Adoption (days),DOG NAME_y,BREED MIXES_y,SECONDARY BREED_y,MIX_y,BREED_MIXES_FIXED,is_retriever,is_shepherd,is_other_breed,MIX_FIXED,MIX_BOOL
Lena,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16699518&key=Mqr6gy1W,Female,8-9 months,10.00lbs,Chihuahua,Black,YES,,NO,,May,2020,CTXR-FD-21-0749,COMPLETED,Walks alone not enough (needs running or playtime); no kids under 12 due to breed,,,4/16/2021 0:00,Altered,,,,2020-08-12,2021-05-16,,,,,black,0.0,1.0,1.0,0.0,0.0,10.0,277.0,Lena,Chihuahua,,,Chihuahua,0.0,0.0,1.0,,0.0
Lucas,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16680736&key=Mqr6gy1W,Male,2 months,11.00lbs,Labrador Retriever,Grey,YES,,,S/N: 7/21/2021,May,2020,FLRN-MD-21-0667,COMPLETED,Puppy Screen; bully warning,WARNING,,4/8/2021 0:00,Unaltered,4/5/2021 0:00,4/8/2021 0:00,,2021-01-24,2021-05-16,,,,,grey,0.0,1.0,0.0,0.0,0.0,11.0,112.0,Lucas,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Nadia (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16720730&key=Mqr6gy1W,Female,4 months,13.00lbs,Doberman,Black & Tan,YES,,,S/N: 6/21/21,May,2020,LACS-FD-21-0775,COMPLETED,Puppy Screen,,,4/24/2021 0:00,Unaltered,4/14/2021 0:00,4/1/2021 0:00,,2020-12-20,2021-05-15,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,13.0,146.0,Nadia (2 shots),Doberman,,,Doberman,0.0,0.0,1.0,,0.0
October (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16741777&key=Mqr6gy1W,Female,9 weeks,10.00lbs,Shepherd/beagle mix,Tri-Color,YES,,,S/N: 8/21/2021,May,2020,FLRN-FD-21-0877,COMPLETED,Puppy Screen; caution on apartments due to breed,,,5/1/2021 0:00,Unaltered,4/15/2021 0:00,5/1/2021 0:00,,2021-02-24,2021-05-16,,,,,tri-color,1.0,3.0,0.0,0.0,0.0,10.0,81.0,October (2 shots),Shepherd/beagle mix,,,"Shepherd, Beagle Mix",0.0,1.0,0.0,Mix,1.0
Olga (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16741768&key=Mqr6gy1W,Female,9 weeks,10.00lbs,Shepherd/beagle mix,Tan,YES,,,S/N: 8/21/2021,May,2020,FLRN-FD-21-0878,COMPLETED,Puppy Screen; caution on apartments due to breed,,,5/1/2021 0:00,Unaltered,4/15/2021 0:00,5/1/2021 0:00,,2021-02-24,2021-05-16,,,,,tan,0.0,1.0,0.0,0.0,1.0,10.0,81.0,Olga (2 shots),Shepherd/beagle mix,,,"Shepherd, Beagle Mix",0.0,1.0,0.0,Mix,1.0
Oshie (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16741771&key=Mqr6gy1W,Female,9 weeks,10.00lbs,Shepherd/beagle mix,Fawn & White,YES,,,S/N: 8/21/2021,May,2020,FLRN-FD-21-0879,COMPLETED,Puppy Screen; caution on apartments due to breed,,,5/1/2021 0:00,Unaltered,4/15/2021 0:00,5/1/2021 0:00,,2021-02-24,2021-05-16,,,,,"fawn, white",1.0,2.0,0.0,1.0,0.0,10.0,81.0,Oshie (2 shots),Shepherd/beagle mix,,,"Shepherd, Beagle Mix",0.0,1.0,0.0,Mix,1.0
Queenie (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16614068&key=Mqr6gy1W,Female,2 years,45.00lbs,Labrador Retriever,Black,YES,,,"HW treated 3/22; 5/12/21 Itching badly tried medicated shampoo that made things worse, switching to Benadryl x 1 week",May,2020,FLRN-FD-21-0691,COMPLETED,Walks alone not enough (needs running or playtime); HW treated,,,4/10/2021 0:00,Altered,4/6/2021 0:00,4/10/2021 0:00,,2019-03-10,2021-05-16,,,,,black,0.0,1.0,1.0,0.0,0.0,45.0,798.0,Queenie (HW),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Taila,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16702233&key=Mqr6gy1W,Female,1 years,47.00lbs,Mountain Cur,Fawn,REQUIRED,,NO,,May,2020,GKPR-FD-21-0753,COMPLETED,"Walks alone not enough (needs running or playtime); 2nd dog required, no kids under 12 due to shyness",,,4/17/2021 0:00,Altered,,,,2019-07-18,2021-05-16,,,,,fawn,0.0,1.0,0.0,0.0,0.0,47.0,668.0,Taila,Mountain Cur,,,Mountain Cur,0.0,0.0,1.0,,0.0
Cooper (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16682824&key=Mqr6gy1W,Male,2 years,45.00lbs,Border Collie,Black & White,Yes,,,HW treated 5/3,May,2020,FLRN-MD-21-0912,COMPLETED,New this week;,,,,,,,,2019-04-04,2021-05-15,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,45.0,772.0,Cooper (HW),Border Collie,,,Border Collie,0.0,0.0,1.0,,0.0
Hattie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16776540&key=Mqr6gy1W,Female,1-2 years,20.00lbs,Beagle,Tri-color,Yes,,,,May,2020,FLRN-FD-21-0918,COMPLETED,New this week; Caution on apartments due to breed,,,,,,,,2020-05-11,2021-05-15,,,,,tri-color,1.0,3.0,0.0,0.0,0.0,20.0,369.0,Hattie,Beagle,,,Beagle,0.0,0.0,1.0,,0.0
Kathy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16181166&key=Mqr6gy1W,Female,4 years,8.00lbs,Terrier,Fawn,Yes,,,demodex,May,2020,FLRN-FD-21-0923,COMPLETED,New this week,,,,,,,,2017-05-08,2021-05-15,,,,,fawn,0.0,1.0,0.0,0.0,0.0,8.0,1468.0,Kathy,Terrier,,,Terrier,0.0,0.0,1.0,,0.0
Mango (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16772703&key=Mqr6gy1W,Male,1 months,8.00lbs,Basset Hound,Fawn,Yes,,,S/N: 9/16/2021,May,2020,FLRN-MD-21-0931,COMPLETED,New this week; puppy screen,,,,,,,,2021-03-16,2021-05-16,,,,,fawn,0.0,1.0,0.0,0.0,0.0,8.0,61.0,Mango (2 shots),Basset Hound,,,Basset Hound,0.0,0.0,1.0,,0.0
Mini Moose (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16772706&key=Mqr6gy1W,Male,1 months,8.00lbs,Basset Hound,Fawn,Yes,,,S/N: 9/16/2021,May,2020,FLRN-MD-21-0932,COMPLETED,New this week; puppy screen,,,,,,,,2021-03-16,2021-05-16,,,,,fawn,0.0,1.0,0.0,0.0,0.0,8.0,61.0,Mini Moose (2 shots),Basset Hound,,,Basset Hound,0.0,0.0,1.0,,0.0
Norma Jean,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13542393&key=Mqr6gy1W,Female,6 years,6.00lbs,Yorkie,Black with Tan,,,,Poor girl had all her teeth pulled but it slows her down none,May,2020,FLRN-FD-21-0933,COMPLETED,New this week; good with small dogs but barks like crazy at big dogs; super sweet girl,,,,,,,,2015-05-10,2021-05-15,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,6.0,2197.0,Norma Jean,Yorkie,,,Yorkie,0.0,0.0,1.0,,0.0
Omaha (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16771279&key=Mqr6gy1W,Male,2 years,45.00lbs,Labrador Retriever,Brown (chocolate),,,,,May,2020,FLRN-MD-21-0934,COMPLETED,New this week;,,,,,,,,2019-05-13,2021-05-16,,,,,brown,0.0,1.0,0.0,0.0,0.0,45.0,734.0,Omaha (HW),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Otis,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16770208&key=Mqr6gy1W,Male,1 years,30.00lbs,Shepherd / Basenji Mix,Brown & White,Yes,,,,May,2020,FLRN-MD-21-0935,COMPLETED,New this week,,,,,,,,2020-05-08,2021-05-15,,,,,"brown, white",1.0,2.0,0.0,1.0,0.0,30.0,372.0,Otis,Shepherd / Basenji Mix,,,"Shepherd, Basenji Mix",0.0,1.0,0.0,Mix,1.0
William (1 shot),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16761368&key=Mqr6gy1W,Male,5 months,18.00lbs,Labrador Retriever,Black & White,Yes,,,Vaccines 4/23,May,2020,FLRN-MD-21-0942,COMPLETED,New this week; older puppy screen,,,,Yes,,,,2020-12-10,2021-05-15,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,18.0,156.0,William (1 shot),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Doug E,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16775710&key=Mqr6gy1W,Male,DOB: 3/26/21,,Beagle,,YES,,,,May,2020,FLRN-MD-21-0752,COMPLETED,Puppy screen; born in care; caution on apartments due to breed,,,,,,,,2021-03-26,2021-05-16,,,,,,,,,,,,51.0,Doug E,Beagle,,,Beagle,0.0,0.0,1.0,,0.0
Lisa,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16680739&key=Mqr6gy1W,Female,2 months,10.00lbs,Labrador Retriever,Black,YES,,,S/N: 7/21/2021,May,2020,FLRN-FD-21-0665,COMPLETED,Puppy Screen; bully warning,WARNING,,4/8/2021 0:00,Unaltered,4/5/2021 0:00,4/8/2021 0:00,,2021-01-24,2021-05-16,,,,,black,0.0,1.0,1.0,0.0,0.0,10.0,112.0,Lisa,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Spring Forsythia (2 shots),,Female,7 weeks,8.00lbs,Australian Shepherd,,,,,,May,2020,FLRN-FD-21-0977,COMPLETED,,,,,,,,,2021-03-24,2021-05-16,,,,,,,,,,,8.0,53.0,Spring Forsythia (2 shots),Australian Shepherd,,,Australian Shepherd,0.0,1.0,0.0,,0.0
Lovey,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16770210&key=Mqr6gy1W,Female,8 months,30.00lbs,Shepherd,Tri-color,YES,,,,May,2020,FLRN-FD-21-0925,ADOPTED (TRIAL),Walks alone not enough (needs running or playtime);,,,5/15/2021 0:00,Altered,,,,2020-09-08,2021-05-15,,,,,tri-color,1.0,3.0,0.0,0.0,0.0,30.0,249.0,Lovey,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Archer,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16203588&key=Mqr6gy1W,Male,2 years,55.00lbs,Shepherd,Tri-color,YES,,CAUTION,,May,2020,FLRN-MD-20-3117,ADOPTION APPROVED,Walks alone not enough (needs running or playtime); HIGH energy; Caution on kids under 12 due to snapping accident,,"Non-stop playing; very active and high energy -- doing well becausae he has a resident dog to play with but will need an equally playful dog or dog parks every day; 
Foster flagged that there have three incidents in the home of concern: 1. Around thanksgiving, family came over and Archer was behind a gate and he barked/growled at the people entering the home and when they reached over; he was able to meet them later on, attached to a leash 2. Was barking / jumping at the dog park towards other dogs -- foster thought it was agression so she left, but Ashley thinks (based on the body language described) it was either refereeing or an attempt to play cut short. 3. When the foster and Archer were sleeping on the couch, the foster woke up and startle Archer who snapped at the foster and got his chin - everyone was okay and Archer wasn't feeling well when this happened but is now on a caution on kids to be safe!! 

Brought back to LDAR due to ncreasingly leash reactive over the past couple of weeks. He recently knocked a man over when they came out of the elevator and wouldn't stop barking until they were back inside Ian's apartment. Archer does the same thing when encountering dogs on walks or around the building (barking and lunging, impossible to get him to refocus).

Exercise by foster -- 4 walks a day, leash training for 20 min, dog park 2x a week;",10/4/2020 0:00,Altered,1/15/2021 0:00,1/15/2021 0:00,,2018-11-01,,,,,,tri-color,1.0,3.0,0.0,0.0,0.0,55.0,1128.0,Archer,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Ezra (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16729069&key=Mqr6gy1W,Male,2-3 years,14.00lbs,Chihuahua,Black & Tan,YES,,NO,HW treated 5/6,May,2020,FLRN-MD-21-0916,COMPLETED,Walks alone not enough (needs running or playtime); HW Treated; no kids under 12 due to breed,,,5/15/2021 0:00,Altered,4/21/2021 0:00,5/15/2021 0:00,,2018-04-23,2021-05-19,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,14.0,1122.0,Ezra (HW),Chihuahua,,,Chihuahua,0.0,0.0,1.0,,0.0
Jar Jar (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16746981&key=Mqr6gy1W,Male,4.5 months (A/O 4/26),17.60lbs,Shepherd,Black/Tan,YES,,,Treated for sarcoptic mange; street rescue,May,2020,PRCO-MD-21-0894,COMPLETED,Puppy Screen,,,5/11/2021 0:00,Altered,4/26/2021 0:00,4/26/2021 0:00,,2020-12-14,2021-05-20,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,17.6,157.0,Jar Jar (3 shots),Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Jazz (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16746982&key=Mqr6gy1W,Male,4.5 months (A/O 4/26),22.00lbs,Shepherd,Black/Tan,YES,,,Treated for sarcoptic mange; street rescue,May,2020,PRCO-MD-21-0896,COMPLETED,Puppy Screen,,,5/11/2021 0:00,Altered,4/26/2021 0:00,4/26/2021 0:00,,2020-12-14,,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,22.0,354.0,Jazz (3 shots),Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Nettie (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16573627&key=Mqr6gy1W,Female,2 years,45.00lbs,Pointer,Brown & White,YES,,,HW treated 3/30,May,2020,FLRN-FD-21-0687,COMPLETED,Walks alone not enough (needs running or playtime); HW treated,,,4/10/2021 0:00,Altered,3/15/2021 0:00,4/10/2021 0:00,,2019-02-25,2021-05-19,,,,,"brown, white",1.0,2.0,0.0,1.0,0.0,45.0,814.0,Nettie (HW),Pointer,,,Pointer,0.0,0.0,1.0,,0.0
Spring Apple (2 shots),,Male,7 weeks,7.00lbs,Australian Shepherd,,YES,,,S/N: 9/24/21,May,2020,FLRN-MD-21-0973,COMPLETED,Puppy screen,,,5/15/2021 0:00,Unaltered,5/1/2021 0:00,5/15/2021 0:00,,2021-03-24,2021-05-20,,,,,,,,,,,7.0,57.0,Spring Apple (2 shots),Australian Shepherd,,,Australian Shepherd,0.0,1.0,0.0,,0.0
Zary,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16748411&key=Mqr6gy1W,Female,1-2 years,16.80lbs,Jack Russell Terrier,White,Yes,,,,May,2020,PRCO-FD-21-0920,COMPLETED,New this week,,,,,,,,,,,,,,white,0.0,1.0,0.0,1.0,0.0,16.8,,Zary,Jack Russell Terrier,,,Jack Russell Terrier,0.0,0.0,1.0,,0.0
Gary (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16744962&key=Mqr6gy1W,Male,2 months,12.00lbs,Terrier / Shepherd Mix,Black & White,Yes,,,S/N: 8/20/21,May,2020,MAWF-MD-21-0849,COMPLETED,Puppy screen,,,5/7/2021 0:00,Unaltered,,,,2021-02-20,2021-05-20,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,12.0,89.0,Gary (2 shots),Terrier / Shepherd Mix,,,"Terrier, Shepherd Mix",0.0,1.0,0.0,Mix,1.0
Spring Dogwood (2 shots),,Male,7 weeks,7.00lbs,Australian Shepherd,,YES,,,S/N: 9/24/21,May,2020,FLRN-MD-21-0975,COMPLETED,Puppy screen,,,5/15/2021 0:00,Unaltered,5/1/2021 0:00,5/15/2021 0:00,,2021-03-24,,,,,,,,,,,,7.0,254.0,Spring Dogwood (2 shots),Australian Shepherd,,,Australian Shepherd,0.0,1.0,0.0,,0.0
Henry (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16764304&key=Mqr6gy1W,Male,4 months,27.00lbs,Labrador Retriever,Black & White,Yes,,,,May,2020,MAWF-FD-21-0994,COMPLETED,New this week; puppy screen,,,,,,,,,,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,27.0,,Henry (3 shots),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Bunny,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16730211&key=Mqr6gy1W,Female,2 years,55.00lbs,Labrador Retriever / Border Collie Mix,Black & White,YES,,,5/3 - URI treated with Doxycycline x 7 days,May,2020,FLRN-FD-21-0847,COMPLETED,Walks alone not enough (needs running or playtime);,,,5/1/2021 0:00,Altered,5/1/2021 0:00,5/1/2021 0:00,,2019-04-23,2021-05-22,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,55.0,760.0,Bunny,Labrador Retriever / Border Collie Mix,,,"Labrador Retriever, Border Collie Mix",1.0,0.0,0.0,Mix,1.0
Collins (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16712164&key=Mqr6gy1W,Male,3 years,62.00lbs,Flat-coated Retriever,Black,YES,,,HW treated 5/4,May,2020,FLRN-MD-21-0911,COMPLETED,Walks alone not enough (needs running or playtime); HW Treated,,,5/15/2021 0:00,Altered,5/1/2021 0:00,5/15/2021 0:00,,2018-04-17,2021-05-22,,,,,black,0.0,1.0,1.0,0.0,0.0,62.0,1131.0,Collins (HW),Flat-coated Retriever,,,Flat-Coated Retriever,1.0,0.0,0.0,,0.0
Dexter,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16652768&key=Mqr6gy1W,Male,1 years,31.00lbs,Labrador Retriever,White & Black,YES,,YES,5/10/21 - Eye infection being treated with Tobramycin x 7 days,May,2020,ASSC-MD-21-0588,COMPLETED,Walks alone not enough (needs running or playtime); good with kids,,,,,,,,2020-03-24,2021-05-22,,,,,"white, black",1.0,2.0,1.0,1.0,0.0,31.0,424.0,Dexter,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Frenchie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16781311&key=Mqr6gy1W,Female,6 months,25.00lbs,Labrador Retriever,Black & White,YES,,,,May,2020,FLRN-FD-21-0917,COMPLETED,Older puppy screen,,,5/15/2021 0:00,Altered,5/1/2021 0:00,5/15/2021 0:00,,2020-11-11,2021-05-22,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,25.0,192.0,Frenchie,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Macy (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16772693&key=Mqr6gy1W,Female,1 months,5.00lbs,Basset Hound,Brindle,YES,,,S/N: 9/16/2021,May,2020,FLRN-FD-21-0929,COMPLETED,Puppy screen,,,5/15/2021 0:00,Unaltered,4/20/2021 0:00,5/15/2021 0:00,,2021-03-16,2021-05-22,,,,,brindle,0.0,1.0,0.0,0.0,0.0,5.0,67.0,Macy (2 shots),Basset Hound,,,Basset Hound,0.0,0.0,1.0,,0.0
Moose,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16563470&key=Mqr6gy1W,Female,1 years,41.00lbs,Labrador Retriever,Black & White,YES,,LIVES WITH,3/5/21 - Happy tail,May,2020,LACS-MD-21-0429,COMPLETED,Walks alone not enough (needs running or playtime); HIgh energy; Lives with kids,,"Brought back to LDAR care because the family 'didn't bond with her'; lived with kids in previous home 
Hasn't gone to the dog park yet (as of mar 8th) but has met dogs on leash and done well; doing well in the crate the more progress she's made;",3/5/2021 0:00,44260,,3/5/2021 0:00,,,,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,41.0,,Moose,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Dobbie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16763494&key=Mqr6gy1W,Male,9 months,43.00lbs,Labrador Retriever,Black & White,REQUIRED,,NO,,May,2020,FLRN-MD-21-1004,COMPLETED,New this week; 2nd dog required; no kids under 12 due to shyness,,,,,,,,2020-09-06,2021-05-22,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,43.0,258.0,Dobbie,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Hughes,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16770889&key=Mqr6gy1W,Male,2 years,55.00lbs,Shepherd,Black,Yes,,,,May,2020,FLRN-MD-21-1008,COMPLETED,New this week;,,,,,,,,2019-05-08,2021-08-22,,,,,black,0.0,1.0,1.0,0.0,0.0,55.0,837.0,Hughes,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Veda (2 shots),,Female,4.5 months,18.00lbs,Labrador Retriever,Black,Yes,,,S/N: 7/1/21,May,2020,FLRN-FD-21-1020,COMPLETED,New this week; puppy screen,,,,,,,,2021-01-04,2021-05-22,,,,,black,0.0,1.0,1.0,0.0,0.0,18.0,138.0,Veda (2 shots),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Whiskey,,Female,6 months,7.00lbs,Dachshund,Brown,Yes,,,"Recovering from severe giardia which caused severe gastroenteritis
Had some autoimmune blisters pop up, but they are resolving",May,2020,FLRN-FD-21-1024,COMPLETED,New this week; older puppy screen,,,,,,,,2020-11-13,2021-05-22,,,,,brown,0.0,1.0,0.0,0.0,0.0,7.0,190.0,Whiskey,Dachshund,,,Dachshund,0.0,0.0,1.0,,0.0
Topanga (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16712773&key=Mqr6gy1W,Female,2 years,45.00lbs,Shepherd,Black & Tan,YES,,,HW treated 5/4,May,2020,FLRN-FD-21-0939,COMPLETED,Walks alone not enough (needs running or playtime); HW Treated,,,5/15/2021 0:00,Altered,5/3/2021 0:00,5/15/2021 0:00,,2019-04-17,2021-05-23,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,45.0,767.0,Topanga (HW),Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Leighla,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16796198&key=Mqr6gy1W,Female,8-10 months,19.00lbs,Beagle / Feist Mix,Brindle & White,YES,,,,May,2020,FLRN-FD-21-1010,COMPLETED,Walks alone not enough (needs running or playtime);,,,5/21/2021 0:00,Altered,5/15/2021 0:00,5/22/2021 0:00,,2020-09-17,2021-05-23,,,,,"brindle, white",1.0,2.0,0.0,1.0,0.0,19.0,248.0,Leighla,Beagle / Feist Mix,,,"Beagle, Feist Mix",0.0,0.0,1.0,Mix,1.0
Cheesecake,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16654246&key=Mqr6gy1W,Female,2 years,33.07lbs,Basset Hound / Retriever Mix,Black & White,Yes,,,,May,2020,TLHS-FD-21-0616,COMPLETED,Walks alone not enough (need running or playtime); talkative in the home and the crate - caution on apartments; high energy - needs daily running off leash at the dog park or other playdates; not ideal for an older dog - still learning boundaries and might overwhelm them;,,Returned for aggression and reactivity,4/3/2021 0:00,Altered,4/22/2021 0:00,4/22/2021 0:00,,2019-05-24,2021-05-23,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,33.07,730.0,Cheesecake,Basset Hound / Retriever Mix,,,"Basset Hound, Retriever Mix",1.0,0.0,0.0,Mix,1.0
Dumplin,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16730994&key=Mqr6gy1W,Female,1-2 years,52.00lbs,Shepherd,Black & Tan,YES,,,5/18/21 - Eye allergies being treated with Alaway drops x 7 days,May,2020,FLRN-FD-21-0848,COMPLETED,Walks alone not enough (needs running or playtime);,,Foster warned that she is fairly grabby with her teeth when taking teeth,5/1/2021 0:00,Altered,4/21/2021 0:00,5/1/2021 0:00,,2020-04-23,2021-05-23,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,52.0,395.0,Dumplin,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Georgie (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16744958&key=Mqr6gy1W,Male,2 months,12.00lbs,Terrier / Shepherd Mix,Black & White,Yes,,,S/N: 8/20/21,May,2020,MAWF-MD-21-0846,COMPLETED,Puppy screen,,,5/7/2021 0:00,Unaltered,,,,2021-02-20,2021-05-23,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,12.0,92.0,Georgie (2 shots),Terrier / Shepherd Mix,,,"Terrier, Shepherd Mix",0.0,1.0,0.0,Mix,1.0
Gina (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16745000&key=Mqr6gy1W,Female,2 months,12.00lbs,Terrier / Shepherd Mix,Black & White,Yes,,,S/N: 8/20/21,May,2020,MAWF-FD-21-0853,COMPLETED,Puppy screen,,,5/7/2021 0:00,Unaltered,,,,2021-02-20,2021-05-23,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,12.0,92.0,Gina (2 shots),Terrier / Shepherd Mix,,,"Terrier, Shepherd Mix",0.0,1.0,0.0,Mix,1.0
Gloria (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16744976&key=Mqr6gy1W,Female,2 months,10.00lbs,Terrier / Shepherd Mix,Fawn & White,Yes,,,S/N: 8/20/21,May,2020,MAWF-FD-21-0854,COMPLETED,Puppy screen,,,5/7/2021 0:00,Unaltered,,,,2021-02-20,2021-05-23,,,,,"fawn, white",1.0,2.0,0.0,1.0,0.0,10.0,92.0,Gloria (2 shots),Terrier / Shepherd Mix,,,"Terrier, Shepherd Mix",0.0,1.0,0.0,Mix,1.0
Spring Redbud (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16788707&key=Mqr6gy1W,Male,7 weeks,8.00lbs,Australian Shepherd,,YES,,,S/N: 9/24/21,May,2020,FLRN-MD-21-0976,COMPLETED,Puppy screen,,,5/15/2021 0:00,Unaltered,5/1/2021 0:00,5/15/2021 0:00,,2021-03-24,2021-05-23,,,,,,,,,,,8.0,60.0,Spring Redbud (2 shots),Australian Shepherd,,,Australian Shepherd,0.0,1.0,0.0,,0.0
Manchita,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16747002&key=Mqr6gy1W,Female,1 years,13.40lbs,Jack Russell Terrier,Yellow,YES,,,Blind in left eye previous owner said lost sight after a scuffle with another dog,May,2020,PRCO-FD-21-0915,COMPLETED,Walks alone not enough (needs running or playtime);  Blind in left eye,,,5/18/2021 0:00,Altered,5/3/2021 0:00,3/8/21 B,,2020-04-28,2021-05-23,,,,,yellow,0.0,1.0,0.0,0.0,1.0,13.4,390.0,Manchita,Jack Russell Terrier,,,Jack Russell Terrier,0.0,0.0,1.0,,0.0
Holly (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16764311&key=Mqr6gy1W,Female,4 months,23.00lbs,Labrador Retriever,Black & White,YES,,,,May,2020,MAWF-FD-21-0996,COMPLETED,Puppy screen,,,5/21/2021 0:00,Altered,5/21/2021 0:00,5/1/2021 0:00,,2021-01-27,2021-05-24,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,23.0,117.0,Holly (3 shots),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
