LDAR Name,LDAR ID #,Reason for Return,Status,Behavior with Dogs,Behavior with Cats,Behavior with Kids,Behavior in Crate,Energy Level,Socialization / Daycare,Vetting,Preventatives Date,Date of Adoption,Trial Adoption,Has the animal been returned before?,Previous Return Information,Date of Returns Email Sent,Date of Returns Packet,Timeline for Return,Plan for Return,Return or Rehome/Surrender,Month Returned,year,Dog info,6 Month +,Year Adopted,Date Returned,Date Returns Packet Sent,Current Status,Link,Return Category,DOG/CAT,Trainer Eval Req,Other Info,Outcome,Plan for return?,Date of Contact,Primary Reason,Vet Rec Rec'd,Date Monthly Med,Vetting Needed
Holland,FLRN-FD-21-0919,"The primary reason is that they are struggling with the integration between Holland and their cat. Holland is very interested in their cat and while it does not seem aggressive, she does begin to chase her when she runs away.","7/11 - Reached out for return
7/12 - Survey Sent (L), responded with questions, pending survey, vet records, and training eval
7/12 - Submitted MR for review
7/13 - Survey, pics to branding
7/13 - Submitted, pending foster
THURSDAY, 330",Doesn't pick up cues from other dogs,Chases,Unknown,Good,High,"Good, can rough house at dog park",No medical notes,"HW - 7/6/2021
FT - 6/28/2021",2021-06-17 00:00:00,No,No,,2021-07-12 00:00:00,2021-07-13 00:00:00,"Until a foster is found, but within two weeks",,RETURN,Jul,2021,F/10MO/38lbs/Lab,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Stenson,FLRN-MD-21-1315,"has allergies and his work schedule has changed. There was a bit of a language barrier when I asked if he had tried allergy shots, he kept saying he can't take allergy medication because of his job as an electrician.","7/21 - Reached out for return
7/22 - Survey sent (L)
7/23 - pics sent for branding
7/23 - Submitted
7/25 - Returned at event",Good,None,Good,Good,Medium,Good at dogparks,No new medical ,"FT - 7/9/2021
HW - 7/1/2021",2021-07-11 00:00:00,No,No,,2021-07-22 00:00:00,2021-07-23 00:00:00,By 7/28/2021,,RETURN,Jul,2021,M/6MO/25lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Wheeler,TLHS-MD-21-0638,Resource guarding,"7/22 - Reached out for return
7/23 - Survey sent (L), pictures sent for branding
7/25 - Returned at event","OK, can be rough with smaller dogs",Chases,Good,Good,High,No experience,No new medical records,2021-06-27 00:00:00,2021-07-17 00:00:00,No,No,,2021-07-23 00:00:00,2021-07-23 00:00:00,ASAP - can keep for a few days,,RETURN,Jul,2021,M/4YO/39lbs/BlackMouthCur,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Chloe,BCAF-FD-21-0833,"Can't manage dog, escaped multiple times and was hit by car","5/22 - Return request
5/23 - survey sent (L)
FU Sent - 5/25, 6/6
7/11 - MR sent, pics sent for branding
7/13 - Submitted
7/15 - Connected with Madison regarding last medical steps before return
7/19 - Last Xray Wednesday
725 - Wednesday 7/28 RETURN",Good ,Unknown,Unknown,Great, Low,Unknown,"Medical Notes
4/22/21 - ear infection, treated with Claro in both ears
5/11/21 - Itching - started on Apoquel
5/27/21 - ear infection resolved, started on Adaptil for anxiety 
6/24/21 - lyme and lepto annual vaccines 
Madison to FU with the vet on meds",2021-07-09 00:00:00,2021-05-08 00:00:00,No,No,,2021-05-23 00:00:00,2021-07-13 00:00:00,"Until a foster can take, asking about timetable",,RETURN,Jul,2021,F/2YO/19lbs/Terrier,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Sunshine,FLRN-FD-18-1045,"Not well suited for suburb living, can not accomodate her ","6/25 - Reached out for return, Ashley to connect on Monday (6/28)
7/12 - Survey sent (L)
7/14 - Pics sent to branding, not better than current
7/17 - Medical records submitted
7/19 - Submitted
7/22 - Scheduling sent
Tuesday, 8/3 1 pm",Good,"Chases, Curious",Good,Good,Varies,Good at daycare,"6/8/21 - Mouth - epulis along right upper premolars, severe dental tartar in this area, this area of mouth sensitivity. Recommended dental ASPA. Probable adenoma on the left rib cage. Right hind leg less well muscled than left, scarring from old injury, no discomfort on palpation
6/21/21 Comprehensive dental treatment, gingivectomy, and had 2 teeth extracted","7/14/2021
7/7/2021",2018-07-28 00:00:00,No,No,,2021-07-12 00:00:00,2021-07-19 00:00:00,"Would prefer her move to foster, can keep until foster is found",,RETURN,Aug,2021,F/6-8YO/60lbs/Hound Mix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Quentin,MAWF-MD-21-1286,Showed up at the office today to try to return the dog. The daughter is apparently having allergic reactions. They've been giving her benadryl but don't see it as a long term solution and would like to return the dog.  ,"7/30 - Reached out for return, survey sent (K)
8/1 - FU sent
8/2 - Ashe connected via phone and they'll send survey ASAP
8/3 - survey received, pics sent for branding
8/4- submitted
8/7 - return happening at event on 8/7",good,unknown,great (lives with one),unknown,medium,interactive with dogs at dog parks,no new medical records,unknown,2021-07-24 00:00:00,No,No,,2021-07-30 00:00:00,2021-08-04 00:00:00,ASAP due to allergies,,RETURN,Aug,2021,M/3MO/15lbs/TerrierMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Thelma,FLRN-FD-16-0202,Anxious dog who isn't do well with new baby,"4/9 - Reached out for rehome
4/10 - rehome survey sent (L)
4/18 - FU Sent
4/20 - Medical review, submitted training report.  REHOME ONLY
4/23 - Medical review resubmitted, 4/25 - third submission
4/26 - Submission",can be aggressive,Predatory,"OK, but can resource guard","Not great, better with gates",Moderate,"Good with dog walker/sitter, but not good with other animals","Medical Notes
4/17/21 - negative fecal 
4/16/21 - pigmented area at ventral anus (6 o'clock position), rectal exam normal, pigmented area palpates as normal anal tissue
2/12/21 - lepto annual vaccine
1/13/21 - per AWBC discontinue Fluoxetine to switch to Reconcile 16mg 1 tab once daily and Traz 100mg 1 tab once daily during the transition
12/20/20 - note about nervousness and extreme aggression at vet, per owner has always been nervous but this newer aggression potentially started during pregnancy; will snap unpredictably when reached for when in certain areas of the house, seems more nervous; triggers include: truck back up beeping, woodpecker noise, windstorms
12/11/20 - bloodwork panel WNL
5/15/20 - low grade mast cell tumor and panfollicular cyst removal 
11/6/17 - neg 4DX 
5/26/17 - HW treated ",2021-04-07 00:00:00,2016-03-01 00:00:00,No,No,,2021-04-10 00:00:00,2021-04-26 00:00:00,REHOME,,REHOME,Aug,2021,F/6YO/50lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Zuma,MTHY-MD-19-0369,Son is scared of dogs,"3/24 - Reachd out for return, Ashley connected them with Vivian for an assessment, medical review complete
7/1 - Survey sent
7/2 - Pics sent for branding
7/2 - SUBMITTED","Great on leash, gets nervous at dog parks",Not tested,See assessment,Great,High,"Good at daycare, can be nervous at dog parks","Medical Notes:
3/28/19 - positive for hooks and coccidia, treated with panacur and ponazuril. coughing treated with clavamox x 7 days
4/10/19 - diarrhea treated with metro x 10 days
7/12/19 - puncture wound, clipped and cleaned treated with clavamox 
10/9/19 - sedated to crush papillomas with hemostat to stimulate immune response to destroy 
7/10/20 - colitis and ocular discharge treated with metro and neo poly bac ointment 
2/16/21 - negative fecal, trazodone prescribed for when visitors come over and recommended behaviorist for anxiety ",2021-07-01 00:00:00,2019-03-23 00:00:00,No,No,,2021-07-01 00:00:00,2021-07-02 00:00:00,REHOME,,REHOME,Aug,2021,M/3YO/63lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Dex,FLRN-MD-21-1470,Can't manage puppy with young child,"8/13 - Reached out for return
NO PACKET",,,,,,,,,,,,,,,,,RETURN,Aug,2021,,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Spring Lilac,FLRN-FD-21-0978,Unable to care for pup,"8/4 - Reached out for return, Ashe to connect
8/13 - Survey Sent (L)
8/14 - Medical review, submitted",Good,Unknown,Good,Cries,Puppy,,puppy needs a DAPP on the 16th at the latest. ,2021-08-01 00:00:00,2021-05-16 00:00:00,No,No,,2021-08-13 00:00:00,2021-08-14 00:00:00,ASAP,,RETURN,Aug,2021,F/4MO/24lbs/AussieMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Arnie,FLRN-MD-20-3400,Not integrating with the family - too wild,"7/22 - Reached out for return
7/25 - Survey sent (L)
7/31 - Recieved fax with vaccines, spay, need medical records and pictures, email sent
7/31 - Medical review
8/11 - Foster found, scheduling
FRIDAY, 12 PM ",Good,Unknown,Unknown,Good,High,Good,Rabies and Bordetella due in Dec.,"FT - 7/21/20201
HW - 7/14/2021",2020-12-21 00:00:00,No,No,,2021-07-25 00:00:00,2021-08-02 00:00:00,Would like to return by end of 1st week of Aug,,RETURN,Aug,2021,M/13MO/42lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Kimble,FLRN-MD-21-1223,Dog needs a more experienced owner,"8/3 - Reached out for return
8/4 - Survey sent (L), branding sent
8/5 - Medical review
8/11 - Foster found, scheduling
FRIDAY, 11 AM","Great with dogs his size and bigger, can be aggressive with smaller dogs",Aggressive,"Good, does nip",Settles,High,"Good at dog parks, passed eval at Dogtopia","Medical Notes
8/2/21 - lepto, lyme, influenza initial vaccinations ",2021-08-02 00:00:00,2021-07-18 00:00:00,No,No,,2021-08-04 00:00:00,2021-08-06 00:00:00,2021-08-10 00:00:00,,RETURN,Aug,2021,M/10MO/39lbs/ShepMix,,,,,,,,Puppy (hrtwrm - and 5 months <= age < 7 months),,,,,,,,,
Alfred,FLRN-MD-16-1293,Son has developed allergies to Alfred and they don't feel like they can manage.,"7/13 - Reached out for return
7/15 - Survey Sent (L)
7/16 - Followed up with additional questions, needs vetting
7/19 - Connected with Ashley for training evaluation
7/31 - Evaluation complete
8/1 - Reachd out about update of medical, scheduled for 8/11
8/14 - Medical review
8/17 - Resent for medical review, branding for return, SUBMITTED 
8/29 Return at event
ADOPTED","Not totally socialized, pulls towards dogs on leash",Unknown,Great,Craete trained,Low,None,"08/11/2021 - faint Ehrlihica +, not treated at the vet ",2021-08-11 00:00:00,2016-12-03 00:00:00,No,No,,2021-07-15 00:00:00,2021-08-17 00:00:00,,,RETURN,Aug,2021,M/5YO/64lbs/Labmix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Mamie,FLRN-FD-21-1205,Gloria and her husband received bad news yesterday that will negatively impact their finances. They do not believe that they can afford to care for her anymore. They would like to return sooner rather than later so that she does not grow too attached. No issues with Mamie specifically were noted.,"8/16 - Reached out for return
NO PACKET
SCHEDULING",,,,,,,,,,,,,No Packet,No Packet,,,RETURN,Aug,2021,F/2.5YO/38lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm + and 7 months <= age < 9 years),,,,,,,,,
Bevie,FLRN-FD-21-1474,Adopter isn't ready to have a dog,"8/24 - Reached out for return, scheduling to return directly to foster",,,,,,,,,,,,,,,,,RETURN,Aug,2021,,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Garland,MAWF-MD-21-1598,child has allergies,"8/25 - reached out for return
8/25 - survey sent (K), no new medical records
8/25 - submitted",unknown,unknown,good - live with two ,good,medium,none - too young,,none yet,44430,no,none,,2021-08-25 00:00:00,2021-08-25 00:00:00,ASAP due to allergies,,RETURN,Aug,2021,M/10week/22lbs/HoundRetrieverMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Iris,FLRN-FD-21-1360,Allergies,"8/13 - Reached out for return, survey sent (L)
8/14 - Wants to try allergy shots
9/1 - Restarted
9/3 - Medical review
9/4- Branding
RETURNED - 9/5",Unknown,Unknown,"Puppy behavior, nibbles",Good,Energetic,Unknown,"4 shots, vaccinated",2021-09-11 00:00:00,2021-07-11 00:00:00,No,No,,2021-08-13 00:00:00,2021-09-04 00:00:00,ASAP,,RETURN,Sep,2021,F/3.5MO/16lbs/AussieMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Sparky,FLRN-MD-21-1486,Got in a fight with cat over food and her cat got bit in the head causing punctures and a jaw fracture. She feels nervous about having him around her 1 year toddler because of the food resource guarding. Would like to return ASAP,"8/16 - Reached out for return, Mirah to call
8/17 - Survey sent (K)
8/22 - Medical review and branding
8/24 - medical review finalized
8/25 - submitted
8/27 - relinquish sent ",unknown - since recovering from HW,interest/mild prey drive toward cat; altercation over food led to cat's cheek being fractured,"great with kids - when nervous, will move himself away",terrified  and breaks out. Will need SA training,medium,None due to HW treatment,no medical notes,unknown,2021-08-08 00:00:00,No,No,,2021-08-16 00:00:00,2021-08-25 00:00:00,ASAP - currently at Juan and Carolinas,,RETURN,Aug,2021,M/3YO/50lbs/ShepherdMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Fall,FLRN-FD-20-2878,Wife died and he can't have pets in the new apartment he's moving into ,"8/23 - Reached out for return, survey sent (L)
8/30 - Received medical, pending pictures
SUBMITTED, pending pics
9/1 - Scheduling",Unknown,Unknown,Unknown,Has a bit of anxiety,High,Unknown,"Needs spay, HW preventatives",DUE - last given 6/2/2021,2020-09-10 00:00:00,No,No,,2021-08-23 00:00:00,2021-08-30 00:00:00,ASAP,,RETURN,Sep,2021,F/1YO/30lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Aster ,FLRN-MD-21-1378,"Daughter is afraid of the dog and it's making her feel uncomfortable in their home. Aster has done nothing wrong - he will literally yawn and the daughter will freak out. Jasmine is not interested in working with her daughter to make her feel safe around the dog, she would like to start the return. ","8/30 - Reached out for return
8/31 - Survey sent (L)
9/3 - Medical review, branding
SCHEDULED - 9/7 Return @ Office",Shy,Unknown,Great,Great,"Energetic, puppy",Unknown - too young, has an umbilical hernia that will need to be corrected at the time of neuter,"8/16/2021 (HW), 9/2/2021 (FT)",2021-07-25 00:00:00,No,No,,2021-08-31 00:00:00,2021-09-04 00:00:00,2021-09-08 00:00:00,,RETURN,Sep,2021,M/15Weeks/20lb/TerrierMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Chester,AUPA-MD-21-0660,adopter can't take care of both himself and the dog,"5/5 - reached out for return
5/6 - survey sent (K)
5/6 - survey returned
5/6 - packet submitted
ON HOLD
8/28 - Restart return, pending medical update from appt on 8/31
9/8 - resubmitted
SUNDAY AT EVENT","curious but passive on walks, playful in dog park",unknown,well behaved when meeting them on walks,anxious with door closed,high - 1-2 hours of exercise daily,loves playing in park with other (bigger) dogs,no medical notes,2021-08-12 00:00:00,2021-04-26 00:00:00,no,no,,2021-08-28 00:00:00,2021-09-08 00:00:00,flexible,,RETURN,Sep,2021,M/1.5YO/32lbs/CattleDogMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Gwyneth,AUPA-FD-21-0645,adopter can't keep up with exercise needs so Gwenyth is becoming destructive in the house ,"8/6 - Reached out for return, Kallie to reach out
8/10 - survey sent (K)
8/13 - FU sent, adopter has vet appt next Wednesday, looking at 9/6 for return
8/30 - medical review and branding
9/2 - submitted
Scheduling, Foster found
9/10 - SUNDAY @event, Relinquish received",good; occasionally lunges at other dogs,unknown,lunges and tries to play as if they are dogs,fine; whines at time but good for up to 5 hours,high,great - mouthy ,currently being treated for hookworms,"8/25/21 HW, hasn't been receiving F/T",2021-05-16 00:00:00,no,no,,2021-08-06 00:00:00,2021-09-02 00:00:00,by 9/11,,RETURN,Sep,2021,F/2YO/50lbs/BorderCollieMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Kristy,HRNI-FD-21-1633,Worried will be too big for apt restrictions,"9/8 - Reached out for return
9/9 - Survey Sent (L)
9/10 - Branding for return
9/10 - Returns packet submitted, relinquish received",Good,Unknown,Unknown,Whines,High,Good at dog park,No new records,2021-08-28 00:00:00,2021-09-05 00:00:00,No,No,,2021-09-09 00:00:00,2021-09-10 00:00:00,1-2 Weeks,,RETURN,Sep,2021,F/1YO/20lbs/PointerPitMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Blue Ivy,MTHY-FD-17-0922,"Family medical issues, no longer can care for her","8/5 - Reached out for return
8/7 - Survey sent (L)
8/17 - heard back from adopter, needs updating on vaccinations, will send after
8/24 - Medical Review
8/25 - Emailed adopter for rabies, SUBMITTED
8/30 - Scheduling email sent
RETURN AT 9/12 EVENT",Friendly,Friendly,Friendly,Good,medium,Very playful,"Medical Notes
2/4/20 - faint Ehrlichia +, not treatment necessary at this time as she is asymptomatic
History of allergies treated with Cytopoint injections and Apoquel
Small lumps and bumps that do not require intervention at this time",Bravecto 6/2021,2017-08-02 00:00:00,No,No,,2021-08-07 00:00:00,2021-08-25 00:00:00,"Is going out of town 8/30, would like to return in advance if possible.",,RETURN,Sep,2021,"F/4,5YO/65lbs/TerrierMix",,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Tubbs,FLRN-MD-21-1647,Too high energy for adopters,"9/8 - Reached out for return
9/9 - Survey Sent (L), branding sent, no new medical records
9/10 - Returns packet submitted
9/16 - Returned",Great,Unknown,Unknown,Unnkown,"High, puppish","Good, doesn't know his own size",No new records,"DUE NOW
HW - 8/1/2021
FT - 8/06/2021",2021-09-05 00:00:00,No,No,,2021-09-08 00:00:00,2021-09-10 00:00:00,Until 9/19 if absolutely needed,,RETURN,Sep,2021,M/10MO/50lbs/LabNewfieMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Zavier,MAWF-MD-21-1439,"not integrating with young child, very puppy-ish","9/7 - Survey sent (L)
9/9 - Survey recieved, no new records 
9/10 - Packet submitted, scheduling",Good,Unknown,"Good, but puppy so nips young child",Good,"Energetic, puppy",,"NO NEW MEDICAL RECORDS, vet records not posted in rover",,2021-08-07 00:00:00,No,No,,2021-09-07 00:00:00,2021-09-10 00:00:00,Foster found for sunday return,,RETURN,Sep,2021,M/3.5MO/10lbs/ShepMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Archie Boy,OWNR-MD-21-1786,Dog is too energetic for the couple to manage,"8/17 - Reached out for rehome, sent in questionnaire and information needed, Mirah confirmed OK to move forward
8/18 - Medical review, branding, sent rehome agreement to owner
8/24 - Submitted
ADOPTED",Great,Great,Great,Unknown,High,Good,"Medical Notes
Vaccines due in November",2021-08-01 00:00:00,,No,No,,2021-08-17 00:00:00,2021-08-24 00:00:00,REHOME,REHOME,SURRENDER,Sep,2021,M/1YO/51lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Jonny,FLRN-MD-21-1176,"Too strong / aggressive at dog parks, struggling to manage","9/7 - Reached out for return, MA to contact
9/12 - Confirmed return
9/13 - Survey sent (L)
9/17 - Pics for branding, medical review
9/18 - Packet submitted, flagged for training eval 
9/21 - OK to return
RETURNED - 9/26",Good,"Aggressively Playful, caution on Cats","Good, Puppyish",Good,High,,No Medical Notes,2021-09-15 00:00:00,2021-07-11 00:00:00,No,No,,2021-09-13 00:00:00,2021-09-18 00:00:00,Sunday,,RETURN,Sep,2021,M/45lbs/9MO/HoundMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Momma Mambo,HRNI-FD-21-1636,Snapped at adopter's father,NO PACKET,,,,,,,,,2021-09-19 00:00:00,,,,,,,,RETURN,Sep,2021,,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Boise,FLRN-MD-21-1744,too much energy for adopter to manage,"9/30 - Reached out for return
10/6 - Survey sent (L)
10/7 - Survey and pics sent for branding, pending medical
10/8 - Medical review sent
10/9 - Medical review reminder sent
10/9 - Submitted, will attend Sunday, recieved relinquish 
10/11 - RETURNED at event",Great,Unknown,Unknown,Good,Medium to high,"Good at dogparks, not tested in daycare","Medical Notes
9/13/21 - prescrotal infection treated with Amoxicillin x 10 days
9/28/21 - fecal + for giardia treated with Metro and Panacur x 5 days 9/30/21 - ear infection treated with Mometamax x 7 days",Due Now,2021-09-12 00:00:00,No,No,,2021-10-06 00:00:00,2021-10-09 00:00:00,ASAP - would like Sunday but knows that may not be feasible. ,,RETURN,Oct,2021,M/2YO/18lbs/JRTMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Socks,FTHL-FD-13-0839,"have since had a few children, and when they start walking she becomes very protective of them. then today, dog bit daughter when daughter tried to son from feeding him (resource guarding). broke skin.","9/21 - Reached out for return, Ashe to contact
10/1 - Survey sent, Medical review, branding
10/3 - Submitted
10/7 - Will tranfer to LDAR 10/11",Depends on dog,"Unknown, expect not good","Good with older kids, not recommended for younger",Great,High,Daycare,"Medical Notes
9/17/21: Managed on urinary diet for previous hx of urinary stones. Slightly worn canine teeth, mild calculus, grade 1 gingivitis. small SQ masses 
10/26/20: Cystotomy to remove urinary stones 
10/5/20: Mildly elevated SDMA, UTI treated with Amoxicillin
7/12/29: Mild dental tartar, recommend at home brushing",2021-10-01 00:00:00,2013-08-01 00:00:00,No,No,,2021-10-01 00:00:00,2021-10-03 00:00:00,Currently at J&C,,RETURN,Oct,2021,F/8.5YO/66lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Dabble,FLRN-FC-21-1101,Resident dog aggressive towards cat,"10/1 - Reached out for return
10/3 - Survey sent (L)
10/6 - Medical review, Branding
10/8 - Submitted, Scheudling for sunday
ADOPTED","Friendly, curious",Good at foster before adopting,Unknown,,,,"Chipped, will need transfer","9/10/2021, due now",2021-06-26 00:00:00,No,No,,2021-10-03 00:00:00,2021-10-08 00:00:00,Pending,Sunday at Event in Alexandria,RETURN,Oct,2021,F/7MO/6lbs/Dabble,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Reggie,FLRN-MD-21-1817,Not integrating with kids,NO PACKET,,,,,,,,,2021-09-25 00:00:00,Yes,No,,NO PACKET,NO PACKET,ASAP,,RETURN,Sep,2021,M/4YO/60lbs/GreatPyrMix,,,,,,,,Adult Dog (hrtwrm + and 7 months <= age < 9 years),,,,,,,,,
Chaco,FLRN-MD-21-1794,Dog has more injuries than anticipated and adopter doesn't feel like her home is good for a dog with mobility issues,"10/8 - Reached out for return
10/9 - Survey sent (L)
10/10 - Medical review and branding
10/11 - Medical review complete, resent pics
10/12 - Submitted
10/17 - RETURNED
ADOPTED","Sweet, friendly","Prey drive with Bunnies, probably will not do well with Cats",Friendly,"Needs training, settles quickly",Medium,"Unknown, will probably do great","Medical Notes
10/7/21 - diagnosed with demodex mites via skin scrape. 
10/4/21 - limping secondary to muscle atrophy of unknown origin. pain located over the accompanying joint. Started on Rimadyl 75mg (1/2 tab BID). Ear infection treated with Claro. lyme and lepto initial vaccinations. ",2021-10-05 00:00:00,2021-09-25 00:00:00,Yes,No,,2021-10-09 00:00:00,2021-10-12 00:00:00,,,RETURN,Oct,2021,M/1YO/35lbs/HoundMix,,,,,,,,Adult Dog (hrtwrm + and 7 months <= age < 9 years),,,,,,,,,
Saul,FLRN-MD-21-1753,aggressive toward cats,"10/14 - reached out for return
10/14 - survey sent (K)
10/14 - responses received
10/15 - branding and medical review 
10/17 - training report received
10/17 - submitted
Return scheduling for SUNDAY",some leash reactivity due to excitement but can be redirected and making good progress with training; did well on playdate,"bit resident cat, cannot live with them",great - loves kids,great - goes in without any sound,moderate,,"no medical notes from Madison; from adopters ""He seems to have allergies. Eye drops didn't work, and he is now on Zesty Paws Aller-immune as well as fish oil pills and it seems to be slowly working. We can give you the rest of what we have.""",2021-10-12 00:00:00,2021-09-14 00:00:00,no,no,,2021-10-14 00:00:00,2021-10-17 00:00:00,can keep 1-2 weeks at max,,RETURN,Oct,2021,M/2YO/5olbs/LabMix,,,,,,,,Adult Dog (hrtwrm + and 7 months <= age < 9 years),,,,,,,,,
Artie,FLRN-MD-21-1936,"Energetic dog, doesn't ""fit"" into apartment life","10/21 - Reached out for return
10/22 - Survey sent (L)
10/23 - Medical review, branding sent
10/24 - Packet submitted, returned",Good,Unknown,Excited,Whines,High,Good ad Daycare,No medical notes,"10/1/2021 - HW
10/8/2021 - FT",2021-10-08 00:00:00,Yes,No,,2021-10-21 00:00:00,2021-10-25 00:00:00,Returned,,RETURN,Oct,2021,M/1YO/23lbs/Terrier,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Johnson (Jack),MTHY-MD-18-0780,Relinquished to Montgomery,"10/14 - Relinquished to Montgomery
NO PACKET",,,,,,,,,,,,,,,,,RETURN,Oct,2021,,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Bessie,FLRN-FD-21-0674,Sever allergeis (owner) and high energy,"9/20 - Reached out for return, Ashe to schedule Vivian assessment
10/3 - Pending assessment, needs assessment for final determination
10/5 - Survey sent (L)
10/10 - FU sent
10/11 - Survey received, medical records received, pending pics
10/12 - Submitted
10/17 - Returned",Great,NO,"Timid at first, good",Unknown,HIGH,"Good at dogparks, not tested in daycare","Medical Notes
8/14/21 - initial lyme, lepto, and flu vaccinations given
9/16/21 - knott's test positive for HW microfilaria. started on Doxycycline and Trazodone x 28 days",2021-10-20 00:00:00,2021-08-01 00:00:00,No,No,,2021-10-05 00:00:00,2021-10-12 00:00:00,,,RETURN,Oct,2021,F/2YO/58lbs/TerrierMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Blakely,FLRN-FD-21-1294,"Cat is not integrating well with the dog (dog does well with cats), also needs more training than owners are willing to do","9/20 - Reched out for return, Mirah to reach out
10/3 - Medical review, pending evaluation
10/5 - Survey sent (L)
10/6 - Pics for branding
10/7 - SUBMITTED
10/9 - Invited to event, can't attend, sent relinqhish and scheduling",Great,Great,Fearful of strangers,Excellent,High,Great at daycare,"Medical Notes:
8/24/21 Giardia + treated with Panacur x 6 days and Metro x 5 days
9/14/21 - negative recheck fecal ",2021-09-13 00:00:00,2021-09-01 00:00:00,No,No,,2021-10-05 00:00:00,2021-10-07 00:00:00,Can keep until the end of October but the sooner the better for the cat.,,RETURN,Oct,2021,F/1YO/40lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Mulan,FLRN-FD-21-1939,adopter has allergies,"10/16 - reached out for return
10/17 - survey sent (K)
10/17 - responses received, vet appt scheduled for 10/19
10/18 - branding
10/21 - medical review
10/22 - submitted",curious but shy,unknown,unknown,good - no barking or crying,mild,shy and gentle at dog park,no medical notes,2021-10-01 00:00:00,2021-10-08 00:00:00,yes,no,,2021-10-16 00:00:00,2021-10-22 00:00:00,Sunday at event,,RETURN,Oct,2021,F/1YO/39lbs/LabPoodleMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Torry,MAWF-FD-21-1928,"LIfe changes, can no longer care for","10/28 - Reached out for return
10/29 - Survey sent (L)
10/30 - Medical review, branding
10/31 - RETURNED","Seems OK, a bit nervous",Unknown,Unknown,Good,High,NA - not fully vaccinated,"10/26/21: Fecal positive for giardia, treating with panacur. Skin infection treating with antibiotics. ","10/22 - FT
10/25 - HW",2021-10-16 00:00:00,No,No,,2021-10-29 00:00:00,2021-11-01 00:00:00,RETURNED,,RETURN,Oct,2021,F/4MO/25lbs/ShepMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
