DOG NAME,LINK,SEX,AGE,WEIGHT,BREED MIXES,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,KIDS2,month,year,Column3,Column4,Column5,Column6,Column7,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,HW,FT,C,ALTERED,Column1,Dog Name,Column2,ID,TRANSPORT DATE,Date of Birth,Adopted On,MIX,AGE MEASURE,SECONDARY BREED,SPAYED/NEUTERED
Grantham,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16245168&key=Mqr6gy1W,Male,1 years,43.40lbs,Labrador Retriever,Black,REQUIRED,,CAUTION,Working with vettin team on worms;diarrhea; improper urination,,Dec,2020,,,,,,ADOPTION APPROVED,Walks alone not enough (needs running or playtime); Second dog required; no kids under 12 due to shyness,,"Talkative pup - likes to make little boofs/growls to say hello or just to talk but not in an agressive way; shy but does best with another dog in the home; if he gets overwhelmed, it's best to turn your body from him and let him come to you and normally will do so with tail wagging; looks for a confident owner that can help him feel calm and if you use the second dog in the home to 'show him' how to do something he'll mimick it fairly quickly; struggled the first few days in foster with improper urination around the home, but after placing used pee pads outside, it seemed to help; A/O 12/3, foster still wasn't doing full walks because he was scared and she was concerned about him getting out of her grip but he's doing well with slowly exploring the backyard ",2020-11-27 00:00:00,2020-12-05 00:00:00,,2020-11-17 00:00:00,Altered,,,LACS-MD-20-3177,,2019-11-12,2020-12-23,,,,
Zeus,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16244104&key=Mqr6gy1W,Male,7 months,40.00lbs,American Pitbull Terrier / American Bulldog,Brown & White,YES,,,,,Dec,2020,,,,,,M&G APPROVED,Walks alone not enough (needs running or playtime; ,,Returned for being too high energy in the home,2020-12-06 00:00:00,2020-12-06 00:00:00,,"11/2020 (rehome via Ali P) 
R: 12/11/20",Altered,,,OTHR-MD-20-3160,,2020-04-12,2020-12-23,,,,
Flip (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16281114&key=Mqr6gy1W,Male,2 years,50.00lbs,Labrador Retriever,Black,YES,Caution,,HW treated 11/30,,Dec,2020,,,,,,COMPLETED,Walks alone not enough (need running or playtime); Caution on cats; HW Treated,,"Saw a cat at transport through two crates and would not stop barking, snarling and trying to get to it -- didn't do it for any other animals/human so we added a cuation in case! ",2020-12-15 00:00:00,2020-12-19 00:00:00,,2020-12-19 00:00:00,Altered,,,FLRN-MD-20-3396,,2018-11-24,2020-12-23,,,,
Bricks (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16281113&key=Mqr6gy1W,Male,6-7 years,65.00lbs,Boxer,Tan & White,YES,,,HW treated 11/30,,Dec,2020,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); bully screen; HW treated,SCREEN,"Super mellow, submissive, and gentle dog; great 'work-from-home buddy' doesn't seem high energy and hasn't shown interest in toys yet; wamrs up to people quickly and odne well with the resident grumpy/dominant dog; done well at dog parks but isn't playng with the dogs, just coexisting; sleeps in his crate all night; has had some accidenrs in the home but working on it ",2020-12-01 00:00:00,2020-12-12 00:00:00,,2020-12-12 00:00:00,Altered,,,FLRN-MD-20-3366,,2014-11-23,2020-12-26,,,,
Artie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16372246&key=Mqr6gy1W,Male,2 years,11.00lbs,Yorkie,Black & Tan,Yes,,,,,Dec,2020,,,,,,COMPLETED,New this week,,,,,,,,,,FLRN-MD-20-3447,,2018-12-23,2020-12-26,,,,
Henry (2 shots),,Male,12-14 Weeks,20.00lbs,Labrador Retriever,Tri-color,Yes,,,S/N: 5/15/2021,,Dec,2020,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FLRN-MD-20-3487,,2020-09-26,2020-12-26,,,,
Remy (2 shots),,Male,8 weeks,6-7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/21/2021,,Dec,2020,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FLRN-MD-20-3475,,2020-10-29,2020-12-26,,,,
Ricky (2 shots),,Male,8 weeks,6-7.00lbs,Labrador Retriever,Cream,Yes,,,S/N: 4/21/2021,,Dec,2020,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FLRN-MD-20-3476,,2020-10-29,2020-12-26,,,,
Roman (2 shots),,Male,8 weeks,6-7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/21/2021,,Dec,2020,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FLRN-MD-20-3477,,2020-10-29,2020-12-26,,,,
Ronnie (2 shots),,Male,8 weeks,6-7.00lbs,Labrador Retriever,Tan,Yes,,,S/N: 4/21/2021,,Dec,2020,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FLRN-MD-20-3479,,2020-10-29,2020-12-26,,,,
Tyson,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16372249&key=Mqr6gy1W,Male,2-3 years,25.00lbs,Boston Terrier,Brindle,Yes,,,,,Dec,2020,,,,,,COMPLETED,New this week,,,,,,,,,,FLRN-MD-20-3460,,2018-12-23,2020-12-26,,,,
Martin,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16351341&key=Mqr6gy1W,Male,10 months,47.40lbs,Shepherd,Brown & White,YES,,,,,Dec,2020,,,,,,ADOPTION APPROVED,New this week,,,,,,2020-12-22 00:00:00,Altered,,,PRCO-MD-20-3445,,2020-02-01,2020-12-27,,,,
Dan,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15868295&key=Mqr6gy1W,Male,9 months,36.00lbs,Labrador Retriever / Hound Mix,black & white,Yes,,,S/N: 10/1/20,,Dec,2020,,,,,,ADOPTION APPROVED,Walks alone not enough (needs running or playtime); ,,"Returned due to adopter's life changing dramatically; According to the adopter he 'loves other dogs, kids, and is not a fan of crates, has never seen a cat, loves dog parks but has never been to daycare' ",,,c,,Unaltered,,,FLRN-MD-20-2178,,2020-03-15,2020-12-26,,,,
Simon,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16354719&key=Mqr6gy1W,Male,1-2 years,44.00lbs,Shepherd,,YES,,,,,Dec,2020,,,,,,ADOPTION APPROVED,Walks alone not enough (need running or playtime); ,,,2020-12-15 00:00:00,2020-12-19 00:00:00,,2020-12-19 00:00:00,Altered,,,FLRN-MD-20-3404,,2019-12-18,2021-01-04,,,,
Zander,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16310055&key=Mqr6gy1W,Male,3.5 years,10.00lbs,Chihuahua,Black & Tan,YES,,NO,Struggling to walk / yellping when pickedu p,,Dec,2020,,,,,,ADOPTION APPROVED,Walks alone not enough (needs running or playtime); no kids under 12 due to breed,,,2020-12-12 00:00:00,2020-12-11 00:00:00,,2020-12-11 00:00:00,Altered,,,LACS-MD-20-3330,,2017-06-05,2021-02-03,,,,
Corey (2 shots),,Male,9-10 weeks,10.00lbs,Shepherd,Black & Tan,YES,,,S/N: 4/15/2021,,Dec,2020,,,,,,COMPLETED,Puppy screen,,,2020-12-17 00:00:00,2020-12-26 00:00:00,,2020-12-26 00:00:00,Unaltered,,,FLRN-MD-20-3485,,2020-10-21,2020-12-30,,,,
Emerson (1 shot),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16268015&key=Mqr6gy1W,Female,8 weeks,7.00-10.00lbs,Labrador,Black & White,YES,,,S/N: 4/21/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,,2020-11-18 00:00:00,2020-11-18 00:00:00,,2020-11-21 00:00:00,Unaltered,,,FRKN-FD-20-3221,,2020-09-27,2020-11-30,,,,
Lady (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16166387&key=Mqr6gy1W,Female,2-3 years,45.00lbs,Shepherd,Brindle,YES,,,HW not yet treated,,Dec,2020,,,,,,VMG APPROVED,Walks alone not enough (needs running or playtime); ,,Super sweet and cuddle bug in the house; one exercise restriction currently but settles in the house/crate easily ,2020-11-13 00:00:00,2020-11-13 00:00:00,,2020-11-13 00:00:00,Altered,,,FLRN-FD-20-3130,,2017-10-15,2020-12-02,,,,
Darly,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16262749&key=Mqr6gy1W,Female,10 months,48.00lbs,English Pointer,White & Tan,YES,,,"ehrlichia pos, doxy started; had embedded collar",,Dec,2020,,,,,,VMG APPROVED,Walks alone not enough (needs running or playtime);,,Moved from her first foster for 'attacking' the resident small dog; we couldn't glean more information from the foster beyond that verbiage so not sure what happened; currently doing okay in foster but they did mention she needed some guidance around boundaries with other dogs at the dog park and struggled with on leash meets; foster has been working through it but sounds like a commitment to socialization is important,2020-11-09 00:00:00,2020-11-21 00:00:00,,2020-11-21 00:00:00,Altered,,,FRKN-FD-20-3216,,2020-01-18,2020-12-04,,,,
Scarlett ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16245577&key=Mqr6gy1W,Female,8 months,27.00lbs,Plott Hound,Brindle,YES,,,"S/N: 1/6/21
parvo survivor",,Dec,2020,,,,,,M&G APPROVED,Walks alone not enough (needs running or playtime); Bully screen,Screen,Doesn't understand dog boundaries yet -- needs socialization; great in the house/on walks,2020-10-28 00:00:00,10.28.20,,2020-11-17 00:00:00,Unaltered,,,SAPA-FD-20-3195,,2020-03-13,2020-12-05,,,,
Frozen,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15754448&key=Mqr6gy1W,Female,4 years,40.00lbs,Pitbull,White,CAUTION,,,,,Dec,2020,,,,,,M&G APPROVED,Walks alone not enough (Needs running or playtime); Bully screen; No dog parks; caution on dogs due to undersocialization,SCREEN,Responds to Nena; has not gone to dog parks yet (a/o 6/22) butbarks as dogs go by at a picnic; does great in the crate; does great with leash walking - wants to smell everything; only barks on leash when she spots a dog smaller than her; update (6/30) - showing more signs of leash reactivity and had a faile dog intro; working with the foster on next steps to help work through the behavior and get more details,2020-10-24 00:00:00,2020-10-24 00:00:00,C,2020-06-19 00:00:00,Altered,,,PRCO-FD-20-1777,,2016-06-01,2020-12-04,,,,
Loretta,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16284288&key=Mqr6gy1W,Female,2 years,55.00lbs,Hound,Tri-color,Yes,,,,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week,,,,,,,,,,MAWF-FD-20-1317,,2018-11-26,2020-12-04,,,,
Alley,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16259182&key=Mqr6gy1W,Female,1 years,40.00lbs,Labrador Retriever,Black & White,YES,,,Cut/rubbed paws (foster is using Musher's to help) ,,Dec,2020,,,,,,VMG APPROVED,Walks alone not enough (Needs running or playtime),,,2020-11-15 00:00:00,2020-11-28 00:00:00,,2020-11-28 00:00:00,Altered,,,FLRN-FD-20-3232,,2019-11-16,2020-12-06,,,,
Matilda (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16166338&key=Mqr6gy1W,Female,3 years,40.00lbs,Shepherd,Black & Tan,YES,,,HW treated 11/9,,Dec,2020,,,,,,M&G APPROVED,Walks alone not enough (Needs running or playtime); heartworm treated,,,2020-11-01 00:00:00,2020-11-28 00:00:00,,2020-11-28 00:00:00,Altered,,,FLRN-FD-20-3240,,2017-10-15,2020-12-06,,,,
Cora,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16244359&key=Mqr6gy1W,Female,4 years,40.00lbs,Australian Cattle Dog / Blue Heeler Mix,Black & White,REQUIRED,,NO,,,Dec,2020,,,,,,M&G APPROVED,Walks alone not enough (needs running or playtime); Second dog required; no kids under 12 due to shyness; guarding tendencies towards dogs (food/bed),,Was originiall listed as 'shy but just needs socialization' from the shelter but placed with another dog to be careful; needs other dog in the home to go on walks (will walk a little but not nearly as far without the resident dog and is very shy on walks withouth the resident dog); Foster is working on this but for now should have another dog in the home; Foster noted guarding tendecies towards dogs around her food and dog bed -- ashley is getting more info / working through it; they're not crate training as required so starting on that immediately (11/2020),2020-10-24 00:00:00,2020-11-17 00:00:00,,2020-11-17 00:00:00,Altered,,,LACS-FD-20-3174,,2016-11-12,2020-12-06,,,,
Maisey (1 shot),,Female,9 weeks,8.00lbs,Labrador,Black,YES,,,S/N: 4/21/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy Screen,,,2020-11-18 00:00:00,2020-11-18 00:00:00,,2020-11-28 00:00:00,Unaltered,,,FLRN-FD-20-3282,,,,,,,
Emery (1 shot),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16268017&key=Mqr6gy1W,Female,8 weeks,7.00-10.00lbs,Labrador,Black & White,YES,,,S/N: 4/21/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,,2020-11-18 00:00:00,2020-11-18 00:00:00,,2020-11-21 00:00:00,Unaltered,,,FRKN-FD-20-3222,,2020-09-27,2020-12-07,,,,
Luna,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16245241&key=Mqr6gy1W,Female,1 years,34.80lbs,Boxer,Red,YES,,,,,Dec,2020,,,,,,VMG APPROVED,Walks alone not enough (needs running or playtime);  bully screen,SCREEN,,2020-11-06 00:00:00,2020-10-21 00:00:00,,2020-11-17 00:00:00,Altered,,,LACS-FD-20-3179,,2019-11-13,2020-12-07,,,,
Parsnip (2 shots),,Female,3 months,12.00 lbs,Shepherd,Brown (chocolate),YES,,,S/N: 2/12/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,,2020-11-10 00:00:00,2020-11-17 00:00:00,,2020-11-17 00:00:00,Unaltered,,,LACS-FD-20-3183,,2020-08-13,2020-12-04,,,,
Lillith,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16168450&key=Mqr6gy1W,Female,2 years,50.00lbs,Shepherd,Black & Tan,YES,,,,,Dec,2020,,,,,,ADOPTION APPROVED,Walks alone not enough (need running or playtime); ,,Returned for separation anxiety & pulls the kids down (while walking her ) ,2020-10-14 00:00:00,2020-10-07 00:00:00,,2020-10-24 00:00:00,Altered,,,LACS-FD-20-2993,,2018-10-01,2020-12-08,,,,
Best (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16078807&key=Mqr6gy1W,Female,2 years,50.00lbs,Boxer,Brown & White,REQUIRED,,NO,HW treated 9/21; underbite,,Dec,2020,,,,,,ADOPTION APPROVED,Walks alone not enough (needs running or playtime); HW Treated; Bully screen; 2nd dog required; no kids under 12 due to stranger danger ,SCREEN,"LOVES the crate; understand some commands like sit, stop and go; learning leash commands; Foster email said: ""She loves her humans but needs guidance with new people'; reactive to meeting new humans (snapped at multiple family members of first foster); moved to a new foster with a second dog and doing better -- ""doing great. She meets people and dogs well and has learned to play with select dogs.""

Update 12/2020 -- from foster: ""Best is like a new dog. For the first day, she would snap at me and other dogs, whoever tried to get near her. She was just scared. Now, she's totally fine with meeting people and playing with dogs. She loves running and is very affectionate. It would still be nice for her to go to her a home with a second dog, but I don't think it's a must. She and my other dog don't really interact anyway. I think it's probable that she will revert to her scared self when she moves to her adopted home for the first day or so....The new owners just need to have patience and give her her space.
",2020-09-15 00:00:00,2020-10-10 00:00:00,c,2020-10-10 00:00:00,Altered,,,FLRN-FD-20-2837,,2018-09-20,2020-12-09,,,,
Rocko,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16150004&key=Mqr6gy1W,Female,3 years,55.00lbs,Lab,White & black,YES,,,,,Dec,2020,,,,,,VMG APPROVED,Walks alone not enough (needs running or playtime); bully warning; High energy,WARNING,"Boarding Updates: 
UPDATE 1 (11/1): Rocko is doing okay, her arousal level is very high though. At times it can be a little too much for the other dogs, so we are giving her lots of breaks. She does better in smaller playgroups, like five dogs max, that can keep up with her. So, we will continue to monitor her and let you know if anything changes!

UPDATE 2 (11/4): Rocko has been doing better and can handle being out with more dogs. She still does need breaks, but that’s about it. 

Update (11/18): Attacked a do ",2020-11-25 00:00:00,2020-11-25 00:00:00,,2020-10-17 00:00:00,Altered,,,FLRN-FD-20-2910,,2017-10-15,2020-12-11,,,,
Lia,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16245243&key=Mqr6gy1W,Female,10 months,42.20lbs,Shepherd,Black & Tan,REQUIRED,,CAUTION,,,Dec,2020,,,,,,ADOPTION APPROVED,Walks alone not enough (needs running or playtime); Second dog required; caution on kids under 12 due to shyness,,,2020-11-07 00:00:00,2020-11-17 00:00:00,,2020-11-17 00:00:00,Altered,,,LACS-FD-20-3178,,2020-01-13,2020-12-12,,,,
Ellaoise (pregnant),,Female,3 years,54.00lbs,Golden Retriever,Golden,YES,,,**SPAY DATE TBD**,,Dec,2020,,,,,,AVAILABLE,Walks alone not enough (need running or playtime); Pregnant upon arrival; ,,,2020-10-14 00:00:00,2020-10-07 00:00:00,,2020-10-24 00:00:00,**TBD**,,,LACS-FD-20-2981,,2017-10-01,2020-12-13,,,,
 Applesauce,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16310048&key=Mqr6gy1W,Female,10 months,33.20lbs,Labrador Retriever,Black,Yes,,,,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week,,,,,,,,,,LACS-FD-20-3297,,2020-02-05,2020-12-22,,,,
Molokai (2 shots),,Female,6 weeks,3.40lbs,Labrador Retriever,Tricolor,Yes,,,,,Dec,2020,,,,,,ADOPTED,New this week; puppy screen,,,,,,,,,,LACS-FD-20-3315,,2020-10-29,2020-12-11,,,,
Ninette (2 shots),,Female,2 months,9.40lbs,Labrador Retriever,Grey,Yes,,,,,Dec,2020,,,,,,ADOPTED,New this week; puppy screen,,,,,,,,,,LACS-FD-20-3318,,2020-10-10,2020-12-11,,,,
Odette,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16310084&key=Mqr6gy1W,Female,2 years,26.20lbs,Shepherd / Labrador Retriever Mix,Tan & White,Yes,,,Ehrlichia Positive,,Dec,2020,,,,,,ADOPTED,New this week,,,,,,,,,,LACS-FD-20-3320,,2018-12-05,,,,,
Oleander,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16308916&key=Mqr6gy1W,Female,2 years,30.80lbs,Labrador Retriever,Brindle,Yes,,,,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week,,,,,,,,,,LACS-FD-20-3321,,2018-12-05,2020-12-11,,,,
Yolanda,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16310072&key=Mqr6gy1W,Female,3 years,61.00lbs,German Shepherd,Black & Tan,Yes,,,,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week; GS Screen,GERMAN SHEPHERD,,,,,,,,,LACS-FD-20-3329,,2017-12-05,2021-01-10,,,,
Diamond (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16259186&key=Mqr6gy1W,Female,2 years,60.00lbs,Rottweiler,,Yes,,,HW treated 11/23,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week,,,,,,2020-12-12 00:00:00,,,,FLRN-FD-20-3291,,2018-11-17,2020-12-12,,,,
Glenda (2 shots),,Female,10 weeks,10-12.00lbs,Labrador / Pointer Mix,Black & White,Yes,,,,,Dec,2020,,,,,,ADOPTED,New this week; puppy screen,,,,,,2020-12-12 00:00:00,,,,FLRN-FD-20-3358,,2020-09-23,2020-12-12,,,,
Marshmallow Fudge (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16258313&key=Mqr6gy1W,Female,2 years,51.00lbs,Shepherd,,Yes,Yes,,HW treated 12/2,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week; good with cats per shelter,,,,,,2020-12-12 00:00:00,,,,FLRN-FD-20-3292,,2018-11-16,2020-12-12,,,,
Lexi,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16299329&key=Mqr6gy1W,Female,5 years,19.00lbs,Shitzu,,REQUIRED,,NO,,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week; 2nd dog required; no kids under 12 due to snappiness,,,,,,2020-12-12 00:00:00,,,,FLRN-FD-20-3293,,2015-12-02,2020-12-12,,,,
Mindy (2 shots),,Female,8-9 weeks,7.00lbs,Shepherd,Brown & Black,Yes,,,,,Dec,2020,,,,,,ADOPTED,New this week; puppy screen,,,,,,2020-12-12 00:00:00,,,,FLRN-FD-20-3374,,2020-10-04,2020-12-12,,,,
Penny,,Female,2-3 years,15.00lbs,Dauchschund,Brown,Yes,,,,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week,,,,,,2020-12-12 00:00:00,,,,FLRN-FD-20-3364,,2018-12-07,2020-12-12,,,,
Sansa (2 shots),,Female,13 weeks,10.00lbs,Beagle,Tan & White,Yes,,,,,Dec,2020,,,,,,ADOPTED,New this week; puppy screen,,,,,,2020-12-12 00:00:00,,,,FLRN-FD-20-3378,,2020-09-05,2020-12-12,,,,
Zoe (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16258326&key=Mqr6gy1W,Female,2-3 years,52.00lbs,Shepherd,Brown & Black,Yes,,,HW treated 11/30,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week,,,,,,2020-12-12 00:00:00,,,,FLRN-FD-20-3384,,2018-11-16,2020-12-12,,,,
Marigold,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16325655&key=Mqr6gy1W,Female,1 years,39.60lbs,Shepherd,Brown & Black,YES,,,,,Dec,2020,,,,,,M&G APPROVED,Walks alone not enough (needs running or playtime);,,,2020-12-02 00:00:00,2020-11-23 00:00:00,,2020-12-11 00:00:00,Altered,,,LACS-FD-20-3385,,2019-12-09,2020-12-16,,,,
Nina (2 shots),,Female,2 months,9.80lbs,Labrador Retriever,Black,YES,,,S/N: 4/1/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,,2020-12-05 00:00:00,2020-12-05 00:00:00,,2020-12-11 00:00:00,Unaltered,,,LACS-FD-20-3317,,2020-10-10,2020-12-16,,,,
Belinda (2 shots),,Female,3 months,9.60lbs,Labrador Retriever,Tan & Black,YES,,,S/N: 3/1/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,,2020-12-03 00:00:00,2020-11-16 00:00:00,,2020-12-11 00:00:00,Unaltered,,,LACS-FD-20-3302,,2020-09-09,2020-12-17,,,,
Bondi (2 shots),,Female,3 months,17.20lbs,Labrador Retriever,Black & Tan,YES,,,S/N: 3/1/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,,2020-12-03 00:00:00,2020-11-16 00:00:00,,2020-12-11 00:00:00,Unaltered,,,LACS-FD-20-3303,,2020-09-09,2020-12-17,,,,
Kayla (2 shots),,Female,3 months,6.00lbs,Shepherd / Spaniel Mix,Black,YES,,,S/N: 3/1/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,"Returns for not doing well in the home with a child with special needs and being nippy; 

Foster Update in LDAR -- doing well but rambunctios and jumpy, chewing on things (not humans just items in the home) so foster said possibly kids over 10/12 ",TY,2020-11-13 00:00:00,,2020-11-13 00:00:00,Unaltered,,,FLRN-FD-20-3124,,2020-09-06,2020-12-18,,,,
Whitney,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16299216&key=Mqr6gy1W,Female,7 years,33.00lbs,Beagle,Tri-color,YES,,,,,Dec,2020,,,,,,M&G APPROVED,Walks alone not enough (needs running or playtime); caution on apartments due to breed,,,2020-12-01 00:00:00,2020-12-12 00:00:00,,2020-12-12 00:00:00,Altered,,,FLRN-FD-20-3380,,2013-12-02,2020-12-18,,,,
Peanut,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16310079&key=Mqr6gy1W,Female,2 years,30.00lbs,Shepherd,Black & Tan,YES,,,,,Dec,2020,,,,,,VMG APPROVED,Walks alone not enough (needs running or playtime);,,"HEAVY puller on walks - neesds commitment to training; Loves to play with dogs and is submissive when told no, but doesn't completely understand boundaires/socail cues yet so foster is working on it with her; loves the water; ",2020-11-21 00:00:00,2020-12-12 00:00:00,,2020-12-11 00:00:00,Altered,,,LACS-FD-20-3322,,2018-12-05,2020-12-18,,,,
Lil' Raye (2 shots),,Female,DOB - 10/31/20,10.00lbs,,Black,YES,,,S/N: 5/1/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy Screen,,,TY,TY,,Born: 10/31/2020,Unaltered,,,LACS-FD-20-3101,,,,,,,
Lil' Serena (2 shots),,Female,DOB - 10/31/20,9.14lbs,,Black,YES,,,S/N: 5/1/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy Screen,,,TY,TY,,Born: 10/31/2020,Unaltered,,,LACS-FD-20-3099,,2020-10-31,,,,,
Lil' Lita (2 shots),,Female,DOB - 10/31/20,9.10lbs,,Black,YES,,,S/N: 5/1/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy Screen,,,TY,TY,,Born: 10/31/2020,Unaltered,,,LACS-FD-20-3100,,2020-10-31,,,,,
Willow,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16284296&key=Mqr6gy1W,Female,10 months,40.00lbs,Pitbull,White,YES,,,,,Dec,2020,,,,,,M&G APPROVED,Walks alone not enough (needs running or playtime); very high energy; bully screen,SCREEN,,2020-11-05 00:00:00,10/17 (BRAVECTO - due 1/17 ,,2020-12-12 00:00:00,Altered,,,FLRN-FD-20-3381,,2020-06-07,2020-12-19,,,,
Bonnie (2 shots),,Female,3 months,12.80lbs,Labrador Retriever,Tan,YES,,,S/N: 3/1/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,,2020-12-03 00:00:00,2020-11-16 00:00:00,,2020-12-11 00:00:00,Unaltered,,,LACS-FD-20-3304,,2020-09-09,2020-12-19,,,,
Melinda (2 shots),,Female,3 months,10.20lbs,Labrador Retriever,Brindle,YES,,,S/N: 3/7/2021,,Dec,2020,,,,,,VMG APPROVED,Puppy screen,,,2020-11-30 00:00:00,2020-12-11 00:00:00,,2020-12-11 00:00:00,Unaltered,,,LACS-FD-20-3314,,2020-09-01,2020-12-19,,,,
Izabell (HW),,Female,2 years,50.00lbs,Shepherd,Black & Tan,Yes,,,HW treated 12/2,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week,,,2020-12-15 00:00:00,OTA,,,,,,FLRN-FD-20-3397,,2018-11-16,2020-12-19,,,,
Sky,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16354715&key=Mqr6gy1W,Female,1-2 years,33.00lbs,Australian Shepherd,,Yes,,,,,Dec,2020,,,,,,ADOPTED (TRIAL),New this week,,,2020-12-05 00:00:00,2020-12-14 00:00:00,,,,,,FLRN-FD-20-3405,,2019-12-16,,,,,
Mandy (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16338896&key=Mqr6gy1W,Female,4 years,38.00lbs,Mountain Feist,Brindle,YES,,,HW Treated,,Dec,2020,,,,,,VMG APPROVED,Walks alone not enough (needs running or playtime); HW treated,,,2020-11-28 00:00:00,2020-12-12 00:00:00,,2020-12-12 00:00:00,Altered,,,FRKN-FD-20-3388,,2016-12-11,2021-05-01,,,,
Artemis,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16355501&key=Mqr6gy1W,Female,5 months,25.00lbs,Shepherd / Beagle Mix,,YES,,,,,Dec,2020,,,,,,VMG APPROVED,Older puppy screen,,,2020-12-16 00:00:00,44181,,2020-12-19 00:00:00,Altered,,,FRKN-FD-20-3423,,2020-07-16,,,,,
Apricot,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16308936&key=Mqr6gy1W,Female,2 years,39.00lbs,Labrador Retriever,Yellow,YES,,,,,Dec,2020,,,,,,VMG APPROVED,Walks alone not enough (needs running or playtime);,,,2020-11-16 00:00:00,2020-12-11 00:00:00,,2020-12-11 00:00:00,Altered,,,LACS-FD-20-3298,,2018-12-05,2020-12-22,,,,
