DOG NAME,LINK,SEX,AGE,WEIGHT,BREED MIXES,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,month,year,ID,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,TRANSPORT DATE,ALTERED,HW,FT,C,Date of Birth,Adopted On,MIX,AGE MEASURE,SECONDARY BREED,SPAYED/NEUTERED
Little Jax (1 shot),,Male,3 months,7.00lbs,Labrador Retriever,Fawn,Yes,,,,Jan,2020,LACS-MD-21-0060,COMPLETED,New this week; puppy screen,,,,,,,1/15/2021 0:00,10/8/2020,1/15/2021,,,,
Little Maggie (1 shot),,Female,3 months,5.10lbs,Labrador Retriever,Fawn,Yes,,,,Jan,2020,LACS-FD-21-0061,COMPLETED,New this week; puppy screen,,,,,,,1/15/2021 0:00,10/8/2020,1/15/2021,,,,
Little Ruby (1 shot),,Female,3 months,5.10lbs,Labrador Retriever,Fawn,Yes,,,,Jan,2020,LACS-FD-21-0062,COMPLETED,New this week; puppy screen,,,,,,,1/15/2021 0:00,10/8/2020,1/15/2021,,,,
Leetles,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16293470&key=Mqr6gy1W,Female,9 years,65-70.00lbs,Lab / Pitbull Mix,Grey,YES,,LIVES WITH,,Jan,2020,FLRN-FD-20-0876,COMPLETED,Older dog - daily running/playtime not necessarily needed; bully screen; lives with kids,SCREEN,"Slightly anxious; paces when there's no humans / dogs to hang with; LOVES the kids in the home and the resident dog although she isn't trying to play, just likes to be in the presence of; Per the shelter/previous owners - doesn't get on the furniture unless welcomed up; Afraid of thunderstorms but doesn't destroy anything ",Altered,,,,10/23/2020 0:00,12/2/2011,1/16/2021,,,,
Star,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16399983&key=Mqr6gy1W,Female,2 years,68.00lbs,German Shepherd,Black,YES,,,,Jan,2020,FLRN-FD-21-0023,COMPLETED,Walks alone not enough (needs running or playtime);  GSD screen,GSD,,,,1/6/2021 0:00,1/9/2021 0:00,1/9/2021 0:00,1/4/2019,1/16/2021,,,,
Gregory,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16406689&key=Mqr6gy1W,Male,8 months,40.00lbs,Shepherd,Brown & Black,YES,,,,Jan,2020,FLRN-MD-21-0014,COMPLETED,Walks alone not enough (needs running or playtime); ,,"Whines a little in the crate but after a lot of exercise will snooze - does well at the dog park and ahs been a few times since transport (as of Monday the 11th); 

Walked 6 miles and had an hour long dog park visit on MOnday ",,,1/5/2021 0:00,1/11/2021 0:00,1/9/2021 0:00,5/4/2020,1/16/2021,,,,
Jacobie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16409778&key=Mqr6gy1W,Male,2-3 years,88.00lbs,Australian Shepherd,Brown & White,YES,,,,Jan,2020,FRKN-MD-21-0037,COMPLETED,Walks alone not enough (needs running or playtime); no chickens,,,,,1/6/2021 0:00,1/9/2021 0:00,1/9/2021 0:00,1/7/2019,1/17/2021,,,,
Babi,,Female,1 years,25.00lbs,Beagle,Tri-Color,Yes,,,,Jan,2020,FLRN-FD-21-0071,COMPLETED,New this week; caution on apartments due to breed,,,,,,,1/16/2021 0:00,1/12/2020,1/16/2021,,,,
Blake,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16420985&key=Mqr6gy1W,Male,11 months,42.00lbs,Heeler,Tan & White,Yes,,,,Jan,2020,FLRN-MD-21-0073,COMPLETED,New this week,,,,,,,1/16/2021 0:00,2/10/2020,1/16/2021,,,,
Edith (2 shot),,Female,8 weeks,5.11lbs,Labrador Retriever,Black & White,Yes,,,,Jan,2020,FLRN-FD-21-0100,COMPLETED,New this week; puppy screen,,,,,,,1/16/2021 0:00,11/19/2020,1/16/2021,,,,
Jelly,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16420992&key=Mqr6gy1W,Female,11 months,42.00lbs,Heeler,Tan & White,Yes,,,,Jan,2020,FLRN-FD-21-0078,COMPLETED,New this week,,,,,,,1/16/2021 0:00,2/10/2020,1/16/2021,,,,
Jorge,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16420469&key=Mqr6gy1W,Male,1 years,50.00lbs,Weimeraner,Black,Yes,,,,Jan,2020,FLRN-MD-21-0079,COMPLETED,New this week,,,,,,,1/16/2021 0:00,1/7/2020,1/16/2021,,,,
Noelle (1 shot),,Female,2 months,13.00lbs,Terrier,Fawn & White,Yes,,,S/N: 5/1/2021,Jan,2020,FLRN-FD-21-0106,COMPLETED,New this week; puppy screen,,,,,,,1/16/2021 0:00,11/2/2020,1/16/2021,,,,
Tank,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16420988&key=Mqr6gy1W,Male,11 months,37.00lbs,Heeler,Tri-color,Yes,,,,Jan,2020,FLRN-MD-21-0085,COMPLETED,New this week,,,,,,,1/16/2021 0:00,2/10/2020,1/16/2021,,,,
Samantha,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16420995&key=Mqr6gy1W,Female,11 months,32.00lbs,Heeler,Tri-color,Yes,,,,Jan,2020,FLRN-FD-21-0083,COMPLETED,New this week,,,,,,,1/16/2021 0:00,2/10/2020,1/16/2021,,,,
Dolly,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16412009&key=Mqr6gy1W,Female,1 years,44.10lbs,Shepherd,Red,Yes,,,Anaplasmosis Positive,Jan,2020,LACS-FD-21-0052,COMPLETED,New this week,,,,,,,1/15/2021 0:00,1/7/2020,1/17/2021,,,,
Eli (2 shots),,Male,8 weeks,4.16lbs,Labrador Retriever,Tan & White,Yes,,,,Jan,2020,FLRN-MD-21-0102,ADOPTED,New this week; puppy screen,,,,,,,1/16/2021 0:00,11/19/2020,1/16/2021,,,,
Natalie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16410010&key=Mqr6gy1W,Female,10 years,22.00lbs,Beagle,Tri-color,YES,Passed shelter test,,,Jan,2020,FRKN-FD-21-0039,COMPLETED,Older dog (might not need daily running or playtime); passed shelter cat test; caution on apartments due to breed,,e,,,12/29/2021 0:00,1/9/2021 0:00,1/9/2021 0:00,1/7/2011,1/17/2021,,,,
Midnight,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16399982&key=Mqr6gy1W,Male,2 years,86.00lbs,German Shepherd,Black,YES,,,,Jan,2020,FLRN-MD-21-0017,ADOPTION APPROVED,Walks alone not enough (needs running or playtime);  GSD screen,GSD,"Does great in the crate - slept in his crate for nine hours with no scratching/barking; voluntarily goes in at bedtime; very excited on leash but not unruly - just wants to meet everyone and barks (but again not agressive, still noteworthy for adopters); ",,,1/6/2021 0:00,1/9/2021 0:00,1/9/2021 0:00,1/4/2019,1/17/2021,,,,
Darling (1 shots),,Female,3 months,9.00lbs,Labrador Retriever,Black & Tan,YES,,,,Jan,2020,LACS-FD-21-0049,ADOPTED,Puppy screen,,,,,,,44211,10/7/2020,1/18/2021,,,,
Delilah (1 shots),,Female,3 months,8.12lbs,Labrador Retriever,Black,YES,,,,Jan,2020,LACS-FD-21-0050,ADOPTED,Puppy screen,,,,,,,44211,10/7/2020,,,,,
Donnesha (1 shots),,Female,3 months,10.80lbs,Labrador Retriever,Tri-color,YES,,,,Jan,2020,LACS-FD-21-0051,ADOPTED,Puppy screen,,,,,,,44211,10/7/2020,1/18/2021,,,,
Evelyn (2 shot),,Female,8 weeks,4.80lbs,Labrador Retriever,Tan & White,Yes,,,,Jan,2020,FLRN-FD-21-0103,ADOPTED,Puppy screen,,,,,,,1/16/2021 0:00,11/19/2020,1/16/2021,,,,
Elise (2 shot),,Female,8 weeks,4.30lbs,Labrador Retriever,White,Yes,,,,Jan,2020,FLRN-FD-21-0101,ADOPTED,Puppy screen,,,,,,,1/16/2021 0:00,11/19/2020,1/16/2021,,,,
Ellie (2 shots),,Female,8 weeks,6.20lbs,Labrador Retriever,Tan & White,Yes,,,,Jan,2020,FLRN-FD-21-0104,ADOPTED,Puppy screen,,,,,,,1/16/2021 0:00,11/19/2020,1/16/2021,,,,
Curls (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16347069&key=Mqr6gy1W,Male,2 years,60.00lbs,Shepherd,Black & Tan,YES,,,HW treated 12/21,Jan,2020,FLRN-MD-21-0011,COMPLETED,Walks alone not enough (needs running or playtime);  HW treated,,,,,1/5/2021 0:00,1/9/2021 0:00,1/9/2021 0:00,12/14/2018,1/18/2021,,,,
Caboose,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16433284&key=Mqr6gy1W,Male,2 years,33.00lbs,Labrador Retriever / Basset Hound Mix,Black & white,YES,NO,,,Jan,2020,FRKN-MD-21-0112,COMPLETED,Walks alone not enough (needs running or playtime);  NO cats,,,Altered,,12/30/2021 0:00,1/16/2021 0:00,1/16/2021 0:00,1/14/2019,1/20/2021,,,,
Daphne,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16410979&key=Mqr6gy1W,Female,2 years,39.12lbs,Shepherd,Fawn,YES,,,,Jan,2020,LACS-FD-21-0048,COMPLETED,Walks alone not enough (needs running or playtime); ,,,Altered,,1/15/2021 0:00,1/15/2021 0:00,1/15/2021 0:00,1/7/2019,1/21/2021,,,,
Leo (2 shots),,Male,8 weeks,6lbs,Shepherd,Brown & Black,YES,,,S/N: 6/1/2021,Jan,2020,FLRN-MD-21-0116,COMPLETED,Puppy screen,,,Unaltered,,1/15/2021 0:00,1/16/2021 0:00,1/16/2021 0:00,11/21/2020,1/21/2021,,,,
Little Zeus (2 shot),,Male,3 months,7.10lbs,Labrador Retriever,Black & Tan,YES,,,Amoxicillin + Albon 1/16-1/26,Jan,2020,LACS-MD-21-0064,COMPLETED,Puppy screen,,,Altered,,1/15/2021 0:00,12/28/2021 0:00,1/15/2021 0:00,10/8/2020,1/22/2021,,,,
Crunch (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16086616&key=Mqr6gy1W,Male,6 months,17.00lbs,Labrador Retriever / Shepherd,Black,YES,,,1/6/2021 0:00,Jan,2020,FLRN-MD-20-2777,COMPLETED,Older Puppy Screen,,Returned because they couldn't handle a puppy - potty training and vetting issues (broken tail),,,12/9/2021 0:00,12/9/2021 0:00,Unaltered,7/17/2020,1/24/2021,,,,
Little Bently (2 shot),,Male,3 months,6.40lbs,Labrador Retriever,Black & Tan,YES,,,Amoxicillin + Albon 1/16-1/26,Jan,2020,LACS-MD-21-0059,COMPLETED,Puppy screen,,,Altered,,1/15/2021 0:00,12/28/2021 0:00,1/15/2021 0:00,10/8/2020,1/23/2021,,,,
Misty,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16420283&key=Mqr6gy1W,Female,1 years,40.00lbs,Shepherd,Black & Tan,YES,,,"Currently being treated for Demodex every 2 weeks with Nexgard until resolved (last dose 1/11), Being treated for URI with Doxy (1/20-1/27)",Jan,2020,FLRN-FD-21-0080,COMPLETED,Walks alone not enough (needs running or playtime); commitment to socialization,,,Altered,,1/16/2021 0:00,1/12 Nexguard,1/16/2021 0:00,1/13/2020,1/23/2021,,,,
Wyme,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16299314&key=Mqr6gy1W,Female,2-3 years,46.00lbs,Pointer,White,YES,,,,Jan,2020,FLRN-FD-20-3383,COMPLETED,Walks alone not enough (needs running or playtime); ,,,Altered,,12/1/2020 0:00,12/12/2020 0:00,12/12/2020 0:00,12/2/2018,1/23/2021,,,,
Elias,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16441937&key=Mqr6gy1W,Male,5 months,20.00lbs,Labrador Retriever,Tan & White,Yes,,,,Jan,2020,FLRN-MD-21-0131,COMPLETED,New this week; older puppy screen,,,,,,,,8/19/2020,1/23/2021,,,,
Indy ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16441864&key=Mqr6gy1W,Female,6 months,30.00lbs,Shepherd,Black & Tan,Yes,,,,Jan,2020,FLRN-FD-21-0133,COMPLETED,New this week,,,,,,,,7/18/2020,1/23/2021,,,,
Lacy (2 shots),,Female,1 months,8.14lbs,Shepherd,Brown (chocolate),Yes,,,S/N: 5/20/21,Jan,2020,FLRN-FD-21-0153,COMPLETED,New this week; puppy screen,,,,,,,,11/24/2020,1/23/2021,,,,
Lena (2 shots),,Female,1 months,9.20lbs,Shepherd,Brindle,Yes,,,S/N: 5/20/21,Jan,2020,FLRN-FD-21-0154,COMPLETED,New this week; puppy screen,,,,,,,,11/24/2020,1/23/2021,,,,
Levi (2 shots),,Male,1 months,8.90lbs,Shepherd,Black,Yes,,,S/N: 5/20/21,Jan,2020,FLRN-MD-21-0155,COMPLETED,New this week; puppy screen,,,,,,,,11/24/2020,1/23/2021,,,,
Luna (2 shots),,Female,1 months,7.14lbs,Shepherd,Fawn & White,Yes,,,S/N: 5/20/21,Jan,2020,FLRN-FD-21-0158,COMPLETED,New this week; puppy screen,,,,,,,,11/24/2020,1/23/2021,,,,
Monty (2 shots),,Male,14 weeks,23.00lbs,Australian Shepherd,Tan & White,,,,,Jan,2020,FLRN-MD-21-0159,COMPLETED,,,,,,,,,10/14/2020,1/23/2021,,,,
Nova (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16421218&key=Mqr6gy1W,Female,4 years,45.00lbs,Australian Shepherd,Merle,Yes,,,HW not yet treated,Jan,2020,FLRN-FD-21-0164,COMPLETED,New this week,,,,,,,,1/10/2017,1/23/2021,,,,
Yaya (2 shots) ,,Female,1 months,6.00lbs,Labrador Retriever / Shepherd Mix,Brown (chocolate),Yes,,,S/N: 5/15/21,Jan,2020,FLRN-FD-21-0142,COMPLETED,New this week; puppy screen,,,,,,,,11/24/2020,1/23/2021,,,,
Yippy (2 shots),,Female,1 months,6.00lbs,Labrador Retriever / Shepherd Mix,Black & White,Yes,,,S/N: 5/15/21,Jan,2020,FLRN-FD-21-0143,COMPLETED,New this week; puppy screen,,,,,,,,11/24/2020,1/23/2021,,,,
Mikey (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16029444&key=Mqr6gy1W,Male,2 years,40.00lbs,Shepherd,Brindle,YES,,,HW treated 9/21,Jan,2020,FLRN-MD-20-2846,COMPLETED,Walks alone not enough (needs running or playtime); HW Treated,,"In the first foster home was exhibiting some resource guarding / human reactivity -- lunge/barked at the kids entering the room/approaching the parents on the couch, reactive in the kitchen around food, etc.; never seemed to settle and reactions were escalating with each situation; Suspected that it was because there were too many humans in the home and older children (15-19) and not enough exercise - they weren't doing dog parks; LDAR consulted virutally with Positive Dog Solutions and they agreed so moved MIkey to a foster with only one human that was bale to do consistent exercise and crate training to help with boundaries; 

Second/New foster home -- thriving; no signs of reactivity to the point the foster hasn't seen any signs of reactivity we described; Does 3 miles a day on walks and a daily dog park trip; content to sit in the house while his foster works; doing well with training on basic tricks - sit, down, etc; struggling to maintain the furniture boundary; foster says Mikey 'craves exercise' and would love a foster home with a yard; entertains himself in the house with toys consistently; 

Update - 1/19: goes to the dog park frequently - struggles with jumping on them constantly which can cause other dogs to react, but Mikey is good; settles down in the crate after initial whining, fnatastic on walks and loves walking - pulls only for squirrles; foster noted that startling Mikey while he sleeps results in a reaction so definitely shouldn't be in a home with kids; Foster wants to stress exercse for him - long walk and nature hikes daily.",Altered,,12/1/2020 0:00,12/1/2020 0:00,10/10/2020 0:00,9/7/2018,1/25/2021,,,,
Rhonda,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16406052&key=Mqr6gy1W,Female,1-2 years,45.00lbs,Bassett,Brown,YES,,,,Jan,2020,FLRN-FD-21-0021,COMPLETED,Walks alone not enough (needs running or playtime); ,,Friendly with dogs she's met on walks; haven't gone to the dog park yet (as of 1/11); she cries a little in the crate but learning it slowly,,,1/5/2021 0:00,1/9/2021 0:00,1/9/2021 0:00,1/6/2020,1/26/2021,,,,
Woody (2 shots),,Male,2 months,12.00lbs,Labrador Retriever,Brown (chocolate),YES,,,S/N: 5/15/21,Jan,2020,MAWF-MD-21-0127,ADOPTION APPROVED,Puppy Screen,,,Unaltered,,TY,1/23/2021 0:00,1/22/2021 0:00,11/18/2020,1/26/2021,,,,
Artemis,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16420796&key=Mqr6gy1W,Male,2 years,55.00lbs,Shepherd,Tri-Color,YES,,,Tripod,Jan,2020,FLRN-MD-21-0070,COMPLETED,Walks alone not enough (needs running or playtime); ,,"As of Monday 18th, had not gone to the dog park but loved meeting other dogs on walks and lived with a resident dog; working on crate training but making great progress every day ",Altered,,1/6/2021 0:00,1/16/2021 0:00,1/16/2021 0:00,1/12/2019,1/25/2021,,,,
Betina,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16420426&key=Mqr6gy1W,Female,1 years,30.00lbs,Pitbull,Black & White,YES,,,Currently being treated for a skin infection with Simplicef from 1/17-1/21 ,Jan,2020,FLRN-FD-21-0072,COMPLETED,Walks alone not enough (needs running or playtime); bully screen,SCREEN,,Altered,,1/6/2021 0:00,1/16/2021 0:00,1/16/2021 0:00,1/10/2020,1/27/2021,,,,
Charlie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16428561&key=Mqr6gy1W,Male,1 years 8 months,38.80lbs,Heeler,Red Marled,YES,,,,Jan,2020,LAPS-MD-21-0107,COMPLETED,Walks alone not enough (needs running or playtime); ,,,Altered,,1/15/2021 0:00,1/15/2021 0:00,1/16/2021 0:00,5/14/2019,1/27/2021,,,,
Little Stella (2 shot),,Female,3 months,7.00lbs,Labrador Retriever,Brown (chocolate),YES,,,Amoxicillin + Albon 1/16-1/26,Jan,2020,LACS-FD-21-0063,COMPLETED,Puppy screen,,,Altered,,1/15/2021 0:00,12/28/2021 0:00,1/15/2021 0:00,10/8/2020,1/27/2021,,,,
Lil' Lois (2 shots),,Female,10 weeks,5.40lbs,Labrador Retriever,Black & white,YES,,,,Jan,2020,FLRN-FD-21-0167,COMPLETED,Puppy Screen,,,Altered,,TY,1/23/2021 0:00,1/23/2021 0:00,11/13/2020,1/27/2021,,,,
Sky,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16354715&key=Mqr6gy1W,Female,1-2 years,33.00lbs,Australian Shepherd,White,Yes,,,,Jan,2020,FLRN-FD-20-3405,COMPLETED,Walks alone not enough (need running or playtime); High energy; Caution on apartments due to possible separation axniety ,,Returned for being to high energy and then possible separatino anxiety (crying/barking in the crate at nighttime); based on the returns call with Ashley it sounded like she wasn't getting enough exercise during the day and was acting out at night time because of it / was bored in the crate -- will update this when we hear back from the foster on exercise / crate training but for now caution added into behavior notes ,Altered,,12/5/2021 0:00,12/14/2021 0:00,R: 1/18/21,12/16/2019,,,,,
Skyla,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16246125&key=Mqr6gy1W,Female,3 years,61lbs,Labrador Retriever,Golden,YES,,,S/N: 1/21/2021,Jan,2020,LACS-FD-20-3190,ADOPTION APPROVED,Walks alone not enough (needs running or playtime); Came to lucky dog nursing 1 week old puppies; ,,,Altered,,11/6/2020 0:00,11/2/2020 0:00,11/17/2020 0:00,11/13/2017,1/16/2021,,,,
Lillian,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16410037&key=Mqr6gy1W,Female,2 years,51.00lbs,Black Mouth Cur,Tan & White,YES,Passed shelter test,,Ehrlichia pos doxy started 12-30-20.,Jan,2020,FRKN-FD-21-0038,COMPLETED,Walks alone not enough (needs running or playtime); passed shelter cat test,,"Will go into the crate without complaint, and will lay down quickly; typically has her nose to the ground when they're walking but when she sees another dog she'll start barking or snarling and straining toward them; foster says she responds well to verbal/phsycial correction; leash reactivity is escalating to surprises from people walking around corners, etc. so Ashley is working to get updates in video form to help with training. ",Altered,,12/29/2021 0:00,1/9/2021 0:00,1/9/2021 0:00,1/7/2019,,,,,
Lil' Clark (2 shots) ,,Male,10 weeks,9.00lbs,Labrador Retriever,Black,YES,,,,Jan,2020,FLRN-MD-21-0168,COMPLETED,Puppy Screen,,,Altered,,TY,1/23/2021 0:00,1/23/2021 0:00,11/15/2020,1/28/2021,,,,
Zack,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16428577&key=Mqr6gy1W,Male,8 months,42.80lbs,Labrador Retriever,Brindle,YES,,,,Jan,2020,LAPS-MD-21-0110,COMPLETED,Walks alone not enough (needs running or playtime); ,,Potty training issues in the foster - ashley is working with the foster ot help ,Altered,,1/15/2021 0:00,1/15/2021 0:00,1/16/2021 0:00,5/14/2020,1/28/2021,,,,
Captain,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16128645&key=Mqr6gy1W,Male,2 years,55.00lbs,Shepherd,Brown,REQUIRED,,No,,Jan,2020,FLRN-MD-20-2877,COMPLETED,Walks alone not enough (needs running or playtime); Second dog required; no kids under 12 due to shyness,,Super scared when solo; but follows the resident dogs around the house and mimcks what they do s well ,Altered,,12/4/2020 0:00,12/4/2020 0:00,10/10/2020 0:00,10/6/2018,1/29/2021,,,,
Ella,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16414904&key=Mqr6gy1W,Female,7 months,35.00-40.00lbs,Labrador Retriever,Black & white,YES,,,"Has neurological disorder which caused back leg dragging, runs with bunny hop sometimes, dribbles urine occ. when excited or in the morning - needs to continue building strength & sometimes has trouble with steps

CRITICAL CARE CASE",Jan,2020,FLRN-FD-21-0044,COMPLETED,Walks alone not enough (needs running or playtime); ,,Seems to be a high energy pup already and loves her chew toys'; In terms of her back legs the foster says: she walks well but with a limp. She tends to drag her back legs when she goes up and down the stairs and loses her balance a lot. She can't quite get up on the couch and needed help to get out of the car as well; foster is worried about 'urge incontinence' but shelter said she was okay; ,,,1/3/2021 0:00,12/17/2021 0:00,1/9/2021 0:00,6/8/2020,1/29/2021,,,,
Yang (2 shots),,Male,1 months,8.00lbs,Labrador Retriever / Shepherd Mix,Black & White,YES,,,S/N: 5/15/21,Jan,2020,FLRN-MD-21-0141,COMPLETED,Puppy Screen,,,Unaltered,,TY,1/23/2021 0:00,1/23/2021 0:00,11/24/2020,1/29/2021,,,,
Yoyo (2 shots),,Female,1 months,12.00lbs,Labrador Retriever / Shepherd Mix,Brown (chocolate),YES,,,S/N: 5/15/21,Jan,2020,FLRN-FD-21-0144,COMPLETED,Puppy Screen,,,Unaltered,,TY,1/23/2021 0:00,1/23/2021 0:00,11/24/2020,1/29/2021,,,,
Jessup,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16441885&key=Mqr6gy1W,Female,8 years,53.00lbs,Shepherd,Black & Tan,YES,,LIVES WITH,,Jan,2020,FLRN-FD-21-0135,COMPLETED,Walks alone not enough (needs running or playtime); Lives with kids,,,Altered,,1/19/2021 0:00,1/23/2021 0:00,1/23/2021 0:00,1/18/2014,1/29/2021,,,,
Boots,,Male,7 years,17.00lbs,Shih Tzu,Black & Tan,YES,,YES," Small cysts noted on his skin, evaluated by vet, stated they were nothing of concern, could be just skin irritations. ",Jan,2020,ASSC-MD-21-0150,COMPLETED,New this week; good with kids per shelter,,,,,,,,1/22/2014,,,,,
Jiffy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16444399&key=Mqr6gy1W,Male,8 months,37.00lbs,Shepherd,Tri-color,YES,,YES,,Jan,2020,ASSC-MD-21-0171,COMPLETED,New this week; good with kids per shelter,,,,,,,,5/19/2020,1/29/2021,,,,
Missy,,Female,5 years,15.00lbs,Jack Russell Terrier / Chihuahua Mix,Fawn & White,YES,,YES,,Jan,2020,ASSC-FD-21-0174,COMPLETED,New this week; good with kids per shelter,,,,,,,,1/22/2016,1/29/2021,,,,
Stacy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16444402&key=Mqr6gy1W,Female,1 years,41.00lbs,Labrador Retriever,Black & White,YES,,YES,,Jan,2020,ASSC-FD-21-0176,COMPLETED,New this week; good with kids per shelter,,,,,,,,1/19/2020,1/29/2021,,,,
Aries,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16453882&key=Mqr6gy1W,Male,1 years,50.00lbs,Shepherd,Brindle,YES,,,,Jan,2020,FLRN-MD-21-0165,COMPLETED,Walks alone not enough (needs running or playtime); ,,"Was adopted as a baby and returned to the shleter in Florence so was well trained upon arrival; Lives with one other dog and doing well, getting more comfortable every day with the crate, very quiet but a snore-er, loves walks and walks well on leash, never had an accident inside",Altered,,1/22/2021 0:00,1/23/2021 0:00,1/23/2021 0:00,1/22/2020,1/31/2021,,,,
Clara (2 shots),,Female,12 weeks,14.00lbs,Shepherd,Black,YES,,,S/N: 4/15/2021,Jan,2020,FLRN-FD-20-3484,COMPLETED,Puppy Screen,,,,,,,,10/21/2020,1/31/2021,,,,
Doodles,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16442061&key=Mqr6gy1W,Female,10 years,40.00lbs,Poodle,Fawn & White,YES,,,"Overweight
Cephalexin for a skin infection",Jan,2020,FLRN-FD-21-0130,COMPLETED,Walks alone not enough (needs running or playtime); Overweight,,SWEETEST dog on the planet - so happy and excited.... needs frequent short walks while she's losing weight because it's hard for her to keep up,Altered,,1/20/2021 0:00,1/23/2021 0:00,1/23/2021 0:00,1/19/2011,1/30/2021,,,,
Fudgesicle (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16450711&key=Mqr6gy1W,Male,3 years,20.00lbs,Beagle,White & Tan,YES,NO,,HW not yet treated (will be treated in DC); Lyme and erlichia pos,Jan,2020,FRKN-MD-21-0160,COMPLETED,Walks alone not enough (needs running or playtime); caution on apartments due to breed; HW not yet Treated,,"Not keen on treats or toys; seems to be potty trained because he hasn't had accidnets and goes to the door - and it's the only time he makes noise is if someone doesn't notice he's asking to go out; has not done dog parks yet due to impending HW treatment, but seems ot be okay around dogs on leash, etc; ",Altered,,1/15/2021 0:00,1/15 Bravecto (Due 4/15),1/23/2021 0:00,1/21/2018,1/30/2021,,,,
Jojo (1 shots) ,,Male,DOB 12/15/20,male,Boxer,,YES,,,"6/15/21
Only have 1 shot but have bordatella",Jan,2020,FLRN-MD-20-3439,COMPLETED,Puppy Screen,,,Unaltered,,TY,DUE,12/19/2020 0:00,,,,,,
Mario,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16453881&key=Mqr6gy1W,Male,10-12 months,34.00lbs,Shepherd,Tan,YES,,LIVES WITH,,Jan,2020,FLRN-MD-21-0166,COMPLETED,Walks alone not enough (needs running or playtime);  Lives with kids,,"Lives with kids 5 and 7 and another dog in the home; has some anxiety around the crate but seems to be slowly getting better - their dog had severe anxiety so the foster is working through this with Mario; they think it's more about seeing his humans, etc. as opposed to the crate alone; learned to not jump on the furniture but will scavenge for food or counter surg",Altered,,1/22/2021 0:00,1/23/2021 0:00,1/23/2021 0:00,1/20/2020,1/30/2021,,,,
Matilda (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15644283&key=Mqr6gy1W,Female,1.5 years,35.00lbs,Corgi / Shettie Mix,Tan,YES,,NO,HW treated - 5/12,Jan,2020,FLRN-FD-20-1403,COMPLETED,Walks alone not enough (needs running or playtime); No kids under 12,,Returned for being reactive with children in the home (4 and 20 months),Altered,,1/1/2021 0:00,1/1/2021 0:00,"11/28/20
Return: ",5/6/2019,1/30/2021,,,,
Toffee (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16446439&key=Mqr6gy1W,Female,DOB: 12/11/2020 ,,Labrador Retriever,Tan,YES,,,S/N: 6/11/21,Jan,2020,LACS-FD-20-3390,COMPLETED,Puppy Screen,,,Unaltered,,TY,TY,12/11/2020 0:00,12/11/2020,1/30/2021,,,,
